label,timestamp,duration,pkg,dram,socket
bar,1708602596.4330897,71451.318,1462704.0,62927.0,0
bar,1708602596.5938418,27668.933,578795.0,15686.0,0
bar,1708602596.625676,29912.425,570921.0,28992.0,0
bar,1708602597.0157046,57793.832,1382565.0,28564.0,0
bar,1708602602.3084948,27709.248,441405.0,14282.0,0
bar,1708602602.344608,62076.986,1917903.0,42419.0,0
bar,1708602602.4346623,46829.728,1447018.0,33569.0,0
bar,1708602602.500299,74099.79,1350949.0,58045.0,0
bar,1708602602.6854527,166559.364,3052910.0,304382.0,0
bar,1708602602.9549463,215130.666,4352528.0,100585.0,0
bar,1708602603.5315719,333962.298,7489544.0,876462.0,0
bar,1708602604.0476277,173208.087,2857537.0,406005.0,0
bar,1708602604.3685644,110110.405,2716851.0,218017.0,0
bar,1708602604.4874787,69450.765,1405392.0,57312.0,0
bar,1708602604.6441984,26697.404,593749.0,12878.0,0
bar,1708602604.6745327,28801.135,574278.0,28808.0,0
bar,1708602604.9712653,56921.837,1324581.0,21729.0,0
bar,1708602609.085146,27653.659,610289.0,15381.0,0
bar,1708602609.119953,62698.466,1856136.0,40161.0,0
bar,1708602609.2085977,49300.619,999449.0,37475.0,0
bar,1708602609.2761564,65053.644,1777523.0,45349.0,0
bar,1708602609.4471037,168845.903,4019094.0,313842.0,0
bar,1708602609.7125356,219795.73,4613453.0,112915.0,0
bar,1708602610.2256236,329479.86,6584761.0,860288.0,0
bar,1708602610.7148068,174253.405,2329157.0,411559.0,0
bar,1708602611.0275104,103923.426,2541924.0,209289.0,0
bar,1708602611.140259,71766.816,1694088.0,55054.0,0
bar,1708602611.2966022,25856.453,789610.0,11597.0,0
bar,1708602611.3264844,28798.859,615355.0,26245.0,0
bar,1708602611.6179907,60812.538,976987.0,37415.0,0
bar,1708602615.7020555,26813.327,720702.0,12940.0,0
bar,1708602615.7360477,65718.152,1611934.0,41809.0,0
bar,1708602615.8280313,49426.999,1259091.0,37780.0,0
bar,1708602615.8959277,65873.482,1513668.0,48706.0,0
bar,1708602616.0676286,166194.052,3105644.0,304076.0,0
bar,1708602616.3293684,222315.659,4448414.0,112366.0,0
bar,1708602616.8456628,343202.126,9206032.0,873961.0,0
bar,1708602617.353396,172227.145,2589898.0,408263.0,0
bar,1708602617.6633196,103580.849,1601436.0,207397.0,0
bar,1708602617.7757595,72377.325,1873775.0,58594.0,0
bar,1708602617.9319534,26300.97,694334.0,12329.0,0
bar,1708602617.9620984,28603.307,713927.0,25513.0,0
bar,1708602618.2593565,57715.435,1034909.0,35644.0,0
bar,1708602622.3508327,25965.582,451171.0,13123.0,0
bar,1708602622.3839843,65645.053,1728939.0,45349.0,0
bar,1708602622.476466,48342.348,1415524.0,33996.0,0
bar,1708602622.5436354,70121.046,2770806.0,58349.0,0
