,variable,importance,correlation,unbalance,statistical_parity,equalized_odds
0,alcohol,0.36901865369018655,0.7755439463875945,0.3748402300687011,-0.7456724966650433,1.4523906519124679
1,type,0.058556366585563666,0.14715812763933214,0.8001827717736809,-0.1671121908714306,0.32431917786090037
