,variable,importance,correlation,unbalance,statistical_parity,equalized_odds
0,3,0.0,0.13917780012784423,0.980629539951574,-0.5423728813559322,-1.1111111111111112
1,7,0.0,-0.1217805751118636,1.016949152542373,0.4745762711864407,-1.1142857142857143
2,29,0.0,-0.12178057511186365,1.016949152542373,0.4745762711864407,-1.1142857142857143
3,32,0.0,-0.12178057511186367,1.016949152542373,0.4745762711864407,-1.1142857142857143
4,44,0.0,-0.12178057511186369,1.016949152542373,0.4745762711864407,-1.1142857142857143
5,57,0.0,0.13917780012784428,0.980629539951574,-0.5423728813559322,-1.1111111111111112
6,66,0.0,0.13917780012784414,0.980629539951574,-0.5423728813559322,-1.0857142857142856
7,71,0.0,-0.12178057511186366,1.016949152542373,0.4745762711864407,-1.1142857142857143
8,73,0.0,-0.12178057511186369,1.016949152542373,0.4745762711864407,-1.1142857142857143
9,75,0.0,0.13917780012784417,0.980629539951574,-0.5423728813559322,-1.1111111111111112
10,80,0.0,-0.1217805751118636,1.016949152542373,0.4745762711864407,-1.1142857142857143
11,84,0.0,-0.12178057511186371,1.016949152542373,0.4745762711864407,-1.1142857142857143
12,89,0.0,0.13917780012784423,0.980629539951574,-0.5423728813559322,-1.1111111111111112
13,93,0.0,-0.12178057511186367,1.016949152542373,0.4745762711864407,-1.1142857142857143
14,95,0.0033333333333333435,-0.12178057511186365,1.016949152542373,0.4745762711864407,-1.1142857142857143
15,104,0.0,0.13917780012784414,0.980629539951574,-0.5423728813559322,-1.1111111111111112
16,110,0.0,0.1391778001278442,0.980629539951574,-0.5423728813559322,-1.1111111111111112
17,114,0.0,-0.12178057511186367,1.016949152542373,0.4745762711864407,-1.1142857142857143
18,117,0.0033333333333333435,-0.12178057511186355,1.016949152542373,0.4745762711864407,-1.1142857142857143
19,119,0.0,0.13917780012784417,0.980629539951574,-0.5423728813559322,-1.1111111111111112
20,121,0.0,-0.12178057511186373,1.016949152542373,0.4745762711864407,-1.1142857142857143
21,132,0.0,-0.12178057511186373,1.016949152542373,0.4745762711864407,-1.1142857142857143
22,159,0.0,-0.12178057511186369,1.016949152542373,0.4745762711864407,-1.1142857142857143
23,163,0.0,-0.12178057511186366,1.016949152542373,0.4745762711864407,-1.1142857142857143
24,172,0.0,0.13917780012784417,0.980629539951574,-0.5423728813559322,-1.1111111111111112
25,173,0.0,-0.12178057511186367,1.016949152542373,0.4745762711864407,-1.1142857142857143
26,187,0.0,0.1391778001278442,0.980629539951574,-0.5423728813559322,-1.1111111111111112
27,218,0.0,0.1391778001278442,0.980629539951574,-0.5423728813559322,-1.1111111111111112
28,219,0.0,-0.1217805751118637,1.016949152542373,0.4745762711864407,-1.1142857142857143
29,226,0.0,0.13917780012784414,0.980629539951574,-0.5423728813559322,-1.1111111111111112
30,227,0.0,-0.1217805751118637,1.016949152542373,0.4745762711864407,-1.1142857142857143
31,236,0.0,-0.1217805751118637,1.016949152542373,0.4745762711864407,-1.1142857142857143
32,238,0.0,0.13917780012784417,0.980629539951574,-0.5423728813559322,-1.1111111111111112
33,254,0.0,-0.12178057511186367,1.016949152542373,0.4745762711864407,-1.1142857142857143
34,259,0.0,-0.12178057511186363,1.016949152542373,0.4745762711864407,-1.1142857142857143
35,269,0.0,0.1391778001278442,0.980629539951574,-0.5423728813559322,-1.1111111111111112
36,279,0.0,0.13917780012784423,0.980629539951574,-0.5423728813559322,-1.1111111111111112
37,284,0.0,-0.12178057511186369,1.016949152542373,0.4745762711864407,-1.1142857142857143
38,285,0.0,-0.12178057511186369,1.016949152542373,0.4745762711864407,-1.1142857142857143
39,286,0.0,-0.12178057511186367,1.016949152542373,0.4745762711864407,-1.1142857142857143
40,297,0.0,-0.12178057511186362,1.016949152542373,0.4745762711864407,-1.1142857142857143
41,302,0.0,-0.12178057511186367,1.016949152542373,0.4745762711864407,-1.1142857142857143
42,318,0.0,-0.1217805751118636,1.016949152542373,0.4745762711864407,-1.1142857142857143
43,343,0.0,0.13917780012784414,0.980629539951574,-0.5423728813559322,-1.1111111111111112
44,363,0.0,-0.12178057511186373,1.016949152542373,0.4745762711864407,-1.1142857142857143
45,369,0.0,-0.12178057511186367,1.016949152542373,0.4745762711864407,-1.1142857142857143
46,370,0.0,-0.12178057511186371,1.016949152542373,0.4745762711864407,-1.1142857142857143
47,378,0.0,-0.12178057511186378,1.016949152542373,0.4745762711864407,-1.1142857142857143
48,387,0.0,0.13917780012784423,0.980629539951574,-0.5423728813559322,-1.1111111111111112
49,399,0.0,0.13917780012784425,0.980629539951574,-0.5423728813559322,-1.1111111111111112
50,403,0.0,-0.12178057511186369,1.016949152542373,0.4745762711864407,-1.1142857142857143
51,409,0.0,-0.12178057511186365,1.016949152542373,0.4745762711864407,-1.1142857142857143
52,414,0.0,-0.12178057511186371,1.016949152542373,0.4745762711864407,-1.1142857142857143
53,440,0.0,0.1391778001278442,0.980629539951574,-0.5423728813559322,-1.1111111111111112
54,453,0.0,0.13917780012784423,0.980629539951574,-0.5423728813559322,-1.1111111111111112
55,462,0.0,0.1391778001278442,0.980629539951574,-0.5423728813559322,-1.1111111111111112
56,463,0.0,0.1391778001278442,0.980629539951574,-0.5423728813559322,-1.1111111111111112
57,465,0.0,-0.1217805751118637,1.016949152542373,0.4745762711864407,-1.1142857142857143
58,473,0.0,0.13917780012784417,0.980629539951574,-0.5423728813559322,-1.1111111111111112
59,475,0.0,0.13917780012784417,0.980629539951574,-0.5423728813559322,-1.0857142857142856
60,492,0.0,0.1391778001278442,0.980629539951574,-0.5423728813559322,-1.1111111111111112
