,variable,importance,correlation,unbalance,statistical_parity,equalized_odds
0,age,0.09463829787234042,0.3527387234207388,0.7603243455520747,-0.3141090875062872,0.6331570108267154
1,sex,0.025361702127659556,-0.2442300173914862,1.0994478499171483,0.23510920260524748,-0.44864192974901507
