,variable,importance,correlation,unbalance,statistical_parity,equalized_odds
0,gender,0.0,-0.06356417261637279,1.1333333333333333,0.06666666666666671,-0.08333333333333331
1,CDecomp,0.0,0.484848484848485,0.515151515151515,-0.4848484848484848,0.875
2,PDecomp,0.0,0.28787878787878785,0.47222222222222215,-0.28787878787878785,0.7333333333333333
3,outpatient,0.0,-0.6038596398555418,2.2666666666666666,0.6333333333333334,-1.2777777777777777
4,Missing_MaclabRHC,0.0,0.1123666437438737,0.9444444444444445,-0.16666666666666669,-0.2222222222222222
5,fine_alignment,0.0,-0.33850160019316505,2.833333333333333,0.6875,-0.30000000000000004
6,DevLoc_Below Jugular Notch,0.0,0.26967994498529674,,-0.4,0.8333333333333333
7,DevLoc_Below left clavicle &  approx. 5.5 cm from mid-sternum to center,0.0,-0.18463723646899913,1.0625,0.375,-0.8
8,DevLoc_Below right clavicle w/approx. 1.5 inches between pt's midline a,0.0,-0.1846372364689991,1.0625,0.375,-0.8
