dataset,Link1
KDD Cup 99,http://kdd.ics.uci.edu/databases/kddcup99/kddcup99.html
EdGap,https://www.edgap.org/
North Carolina Voters,https://www.ncsbe.gov/results-data/voter-registration-data
Student,https://archive.ics.uci.edu/ml/datasets/student+performance
U.S. Harmonized Tariff Schedules (HTS),https://hts.usitc.gov/current
Indian Census,https://www.indiabudget.gov.in/budget_archive/es2006-07/chapt2007/tab97.pdf
Recidivism of Felons on Probation,https://www.icpsr.umich.edu/web/NACJD/studies/9574
State Court Processing Statistics (SCPS),https://www.icpsr.umich.edu/web/NACJD/studies/2038/datadocumentation
FIFA 20 Players,https://www.kaggle.com/stefanoleone992/fifa-20-complete-player-dataset
Willingness-to-Pay for Vaccine,https://snd.gu.se/sv/catalogue/study/snd0987/1#dataset
Credit Elasticities,http://doi.org/10.3886/E113240V1
Million Playlist Dataset (MPD),https://www.aicrowd.com/challenges/spotify-million-playlist-dataset-challenge
YouTube Dialect Accuracy,https://github.com/rctatman/youtubeDialectAccuracy
Toy Dataset 1,https://github.com/mbilalzafar/fair-classification/tree/master/disparate_impact/synthetic_data_demo
Toy Dataset 4,https://github.com/jmikko/fair_ERM
Internet Ads,https://archive.ics.uci.edu/ml/datasets/internet+advertisements
Indian Student Performance,https://archive.ics.uci.edu/ml/datasets/Student+Academics+Performance
IBM HR Analytics,https://www.kaggle.com/datasets/pavansubhasht/ibm-hr-analytics-attrition-dataset
Campus Recruitment,https://www.kaggle.com/datasets/benroshan/factors-affecting-campus-placement
Chicago Ridesharing,https://data.cityofchicago.org/Transportation/Transportation-Network-Providers-Trips/m6dm-c72p
US Family Income,https://www.census.gov/data/tables/time-series/demo/income-poverty/cps-finc/finc-02.html
2010 Frequently Occurring Surnames,https://www.census.gov/topics/population/genealogy/data/2010_surnames.html
Heart Disease,https://archive.ics.uci.edu/ml/datasets/heart+disease
Drug Consumption,https://archive.ics.uci.edu/ml/datasets/Drug+consumption+\%28quantified\%29
Warfarin,https://www.pharmgkb.org/downloads
HMDA,https://ffiec.cfpb.gov/data-browser/
Strategic Subject List,https://data.cityofchicago.org/Public-Safety/Strategic-Subject-List-Historical/4aki-r3np
Section 203 determinations,https://www.census.gov/data/datasets/2016/dec/rdo/section-203-determinations.html
Poverty in Colombia,https://www.dane.gov.co/index.php/estadisticas-por-tema/pobreza-y-condiciones-de-vida/pobreza-y-desigualdad/pobreza-monetaria-y-multidimensional-en-colombia-2018
Costarica Household Survey,https://www.inec.cr/encuestas/encuesta-nacional-de-hogares
MEPS-HC,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files.jsp
FICO,https://github.com/fairmlbook/fairmlbook.github.io/tree/master/code/creditscore/data
Diabetes 130-US Hospitals,https://archive.ics.uci.edu/ml/datasets/diabetes+130-us+hospitals+for+years+1999-2008
Ricci,http://jse.amstat.org/jse_data_archive.htm
Philadelphia Crime Incidents,https://www.opendataphilly.org/dataset/crime-incidents
Olympic Athletes,https://www.kaggle.com/heesoo37/120-years-of-olympic-history-athletes-and-results
COMPAS,https://github.com/propublica/compas-analysis
German Credit,https://archive.ics.uci.edu/ml/datasets/statlog+(german+credit+data)
Communities and Crime,http://archive.ics.uci.edu/ml/datasets/communities+and+crime+unnormalized
Bank Marketing,https://archive.ics.uci.edu/ml/datasets/Bank+Marketing
Credit Card Default,https://archive.ics.uci.edu/ml/datasets/default+of+credit+card+clients
National Longitudinal Survey of Youth,https://www.bls.gov/nls/nlsy79.htm
US Census Data (1990),https://archive.ics.uci.edu/ml/datasets/US+Census+Data+(1990)
Nursery,https://archive.ics.uci.edu/ml/datasets/nursery
Arrhythmia,https://archive.ics.uci.edu/ml/datasets/arrhythmia
Popular Baby Names,https://catalog.data.gov/dataset/popular-baby-names
ANPE,https://www.openicpsr.org/openicpsr/project/113904/version/V1/view?path=/openicpsr/113904/fcr:versions/V1/Archive&amp;type=folder
"Stop, Question and Frisk",https://www1.nyc.gov/site/nypd/stats/reports-analysis/stopfrisk.page
