File,Unbalance,Noise
bank.csv,0.6872212017843086,0.4903432407248039
resyduo_full.csv,0.599515665203572,0.450589399384167
wine_proc.csv,0.2702892673695593,0.7212691356397086
drug_proc.csv,0.1713527851458885,0.3427020080628564
law_proc.csv,0.0329710677045087,0.3891936216258203
credit_card.csv,0.5576,0.4134638762156271
ibm.csv,0.6775510204081632,0.3892113829537037
hearth.csv,0.4234006734006733,0.6992003399794596
park_proc.csv,0.0437446808510637,0.5703483579357705
arrhythmia.csv,0.5038716814159292,0.4386663258680405
medical_data.csv,0.2771084337349396,0.3363970588235294
cmc_proc.csv,0.1608961303462321,0.3711914124334699
vaccine.csv,0.6057347670250897,0.3884793056786897
crime_proc.csv,0.0471414242728184,0.5023695082859712
diabetic.csv,0.5400624963150757,0.4662015386471647
us.csv,0.1318169984359014,0.6288701761818377
