,variable,correlation_true,mutual_info,unpriv_prob_pos,priv_prob_pos,unpriv_unbalance,priv_unbalance,statistical_parity,equal_opportunity,average_odds,kurtosis_var,skew_var,gini,simpson,shannon,ir,pos_prob
0,ClaimsTruncated,0.14735541387926657,0.011361774270892858,0.05600539811066127,0.09540636042402827,0.9689401884827776,1.6506097620992746,-0.009917001664258499,-0.33149621130837426,-0.02072748057295499,17.009391751424932,4.359347964072767,0.9544356786346804,-0.9999999716080676,-76602.51693583041,0.04773954116059379,-0.039400962313367
1,age_05,-0.034594093034281195,0.003509462927926003,0.0561877667140825,0.07325383304940375,0.9720953177191266,1.2673525266569545,0.0013936984595103487,0.05253707037980326,-0.008515612759218385,5.690840141958546,2.7729060102899132,0.9054902592175174,-0.9999999687245349,-75459.07626275954,0.10437411095305832,-0.017066066335321248
2,age_15,-0.05116119280020605,0.0033697753123579817,0.05905511811023622,0.04654895666131621,1.0217028929879586,0.8053358490903482,0.0016215095176432873,0.06792329584951018,0.0037241311299888707,5.086050651721358,2.661656063344469,0.8996940911286427,-0.9999999683683173,-75343.43795856203,0.11148890479599141,0.012506161448920007
3,age_25,0.023586989364283547,0.0015301136021661935,0.05776173285198556,0.0583756345177665,0.9993262471968867,1.0099472590246454,0.002275406671675616,-0.015362812830239436,0.004000311539348624,10.841383371222364,3.5830004811697624,0.9365641603606505,-0.9999999705819407,-76144.83704507799,0.06773250816572116,-0.0006139016657809374
4,age_35,-0.030003726182185893,0.0017443879202801026,0.05960502692998205,0.0421216848673947,1.031216775103394,0.7287403473854832,0.0052064631956912025,0.0446121830510563,0.005589367780399951,4.8094651034294325,2.609198442890164,0.8967960070842055,-0.9999999681891154,-75286.88091048918,0.11508078994614003,0.01748334206258735
5,age_45,-0.07004463949439171,0.004174274211676536,0.06151537884471118,0.03526734926052332,1.0642674596225659,0.6101546135295554,0.0001380464570067434,0.07775301333865892,0.0029884513925904836,2.2336013547215146,2.057396951950872,0.8584768958299791,-0.9999999657567845,-74608.99171222547,0.16485371342835708,0.026248029584187857
6,age_55,-0.024915684892928773,0.002725656011490889,0.056153144940747496,0.07024793388429752,0.9714963321085869,1.215347959207164,0.0037274208899302132,0.02931938093121489,0.005017119324633329,3.6913942645476068,2.385415205948068,0.883110610207696,-0.9999999673333932,-75030.47582630362,0.13236098450319053,-0.014094788943550027
7,age_65,-0.013907394946854314,0.0015787510725416612,0.05865314989138305,0.050946142649199416,1.0147485068952093,0.8814108412094083,0.0019765543395657637,0.013456169031364595,0.00395652357564423,4.169444931801222,2.4835664748975157,0.8893897923039769,-0.9999999677279283,-75145.99500633951,0.12436640115858073,0.007707007242183636
8,age_75,0.07295553052066919,0.0053989376795577065,0.057016701862161644,0.06187624750499002,0.986436588484362,1.0705107890069443,-0.0015725891277533245,-0.07823151929966132,0.002313136155138373,1.3930492293166985,1.8419013975073815,0.8386733215263242,-0.9999999644604736,-74303.03699638101,0.19235937799961605,-0.004859545642828374
9,age_85,0.09875871619841825,0.005789655303540549,0.05528511821974965,0.08932461873638345,0.9564787444648053,1.5453905486676256,-0.011425788055911594,-0.16555916138669957,-0.0158675501519496,8.619291784717866,3.258299617260006,0.9260988568668491,-0.9999999699665292,-75900.24427607378,0.07979833101529903,-0.0340395005166338
10,age_MISS,0.0713154201193162,0.0038337933679947465,0.05701900633544515,0.07981220657276995,0.9864764577979104,1.3808178691461679,-0.014611286704331804,-0.17281347303561279,-0.005246865986276394,24.215591846098842,5.119354871728959,0.9657060054741587,-0.999999972238704,-76923.9874587068,0.03551183727909303,-0.022793200237324805
11,sexMALE,-0.04254918136092437,0.0042324913018698335,0.05916985575507801,0.05614783226723525,1.0236879501247618,0.9714044184172651,0.002689253593255808,0.03139795366914122,-0.004517973869464328,-1.9650593152691511,0.18860953295140867,0.5469328610529706,-0.9999999486077981,-72090.92078292825,0.8283779805710921,0.003022023487842758
12,sexFEMALE,0.04254918136092437,0.0042324913018698335,0.05614783226723525,0.05916985575507801,0.9714044184172651,1.0236879501247618,-0.002689253593255808,-0.03139795366914122,0.004517973869464328,-1.9650593152691516,-0.18860953295140917,0.4530671389470295,-0.9999999486077981,-72090.92078292825,0.8283779805710921,-0.003022023487842758
13,pcg42,0.0025007428531055352,0.00013367301226806325,0.05769540692989525,0.16666666666666666,0.9981787533191625,2.8834726090993503,0.004673650282030621,-0.02371743217835076,0.005102172436230011,1030.998390213871,32.13512718491982,0.9990339719851876,-0.9999999740273644,-78193.64192158928,0.0009669621273166801,-0.10897125973677141
14,pcg45,-0.004726586118317286,2.196464079292715e-05,0.05780998389694042,0.0,1.0001610305958133,0.0,0.00466988727858293,0.14299516908212562,0.005092813218129511,6211.000000000003,78.8098978555359,0.9998389953308646,-0.9999999740691479,-78248.34460479971,0.00016103059581320451,0.05780998389694042
15,pg18,-0.006684940453890862,4.393307153018663e-05,0.05781929457239491,0.0,1.0003221130616846,0.0,-0.4954904171364149,-0.3571428571428571,-0.24499226245744352,3102.99871139212,55.713548773007666,0.9996779906617292,-0.9999999740607965,-78236.30164837097,0.0003221130616846513,0.05781929457239491
16,labNull,-0.05257319936170693,0.004591499058255956,0.05689900426742532,0.05970898143502258,0.9844003217408878,1.0330152749106554,0.0017034490322577578,0.047982542978185605,-0.0010796837822231755,-1.4112637310955845,0.7675876580136447,0.679117694413138,-0.9999999540516624,-72639.33128368403,0.4724988146040778,-0.0028099771675972607
