,variable,importance,correlation,unbalance,statistical_parity,equalized_odds,average_odds
0,Category_Art,0.002643688893038609,-0.009863185828604308,0.9981643518482735,-0.017204773036081145,0.12411816624487734,-0.049376924315308934
1,Category_Comics,0.0001894065705406067,0.05896995616195284,1.0066223167590602,0.16238143604299093,-0.05047261226110414,-0.01858710261804586
2,Category_Crafts,0.0003734777447279569,-0.06371631514028446,0.9934737429484836,-0.19144052354306185,0.344528300154625,-0.032347558681997346
3,Category_Dance,0.0003307945739019047,0.03824798393758111,1.0024524533051966,0.18091240985127321,0.018807214591345933,-0.060222341921776334
4,Category_Design,0.0031238745648316966,0.013608256784028676,1.0026167803360062,0.023090092840375442,-0.0502141811903519,0.0019806652598011176
5,Category_Fashion,0.0021021461631830717,-0.06912201802419812,0.9884179983899746,-0.13202877688420422,0.12254447413297356,0.013598976960263687
6,Category_Film & Video,0.006834642728521722,0.024762341801606462,1.00726365032168,0.030441166258233232,-0.030931535330447735,0.01128842647693018
7,Category_Food,0.0013738645609635558,-0.058583312652250696,0.9898018544799972,-0.10823199805313932,0.04734775361664087,0.02827906891484433
8,Category_Games,0.0052126822371317385,0.027191527325418786,1.0057213045505509,0.042825275063771095,-0.08634145466562168,-0.002776352514028746
9,Category_Journalism,0.00011471102159501533,-0.036862001736399294,0.9972678628218785,-0.1513177010087542,0.1776850459519028,0.010354542965659408
10,Category_Music,0.013914713689293246,0.14416172323693244,1.0368218227447807,0.1953142982545515,-0.17772149450014935,0.015318710904726252
11,Category_Photography,0.0004401701991436635,-0.03454216098937232,0.9960698818025802,-0.0939520370722271,0.14347922056707135,-0.01549839397129904
12,Category_Publishing,0.0035053554040895387,-0.06678478697497767,0.9850027166436757,-0.09983405441754767,0.1562255059299603,-0.018381989312551972
13,Category_Technology,0.0033826412879646383,-0.07965007046359122,0.9838820371550752,-0.1295190797078999,-8.144821989655715e-05,0.040672871301656977
14,Category_Theater,0.002368915980845898,0.07657204924050656,1.0089126260369852,0.20386320236102995,-0.030360751938156183,-0.05753880809852685
15,Subcategory_3D Printing,0.0,0.0013074995646129755,1.0000352939112496,0.014575829536459417,-0.05064904293476624,0.023392277985453847
16,Subcategory_Academic,0.0,-0.024213946433180717,0.9991918028876133,-0.21850067189467404,0.330097205510951,0.009333455943024593
17,Subcategory_Accessories,2.93446799429109e-05,-0.010203143011461486,0.9993994590045523,-0.052496291117057337,0.13571583355456987,-0.029812449296993004
18,Subcategory_Action,2.667698176628264e-06,-0.02318591134747882,0.9993129288547228,-0.23553068299771285,0.38548681203861884,0.010611196459836214
19,Subcategory_Animals,0.0,-0.012052353667016546,0.9998108009742598,-0.23077441165224044,0.5504613260863073,-0.10727104221603134
20,Subcategory_Animation,1.8673887236397845e-05,-0.004920579700226327,0.9997390048288757,-0.02805109780799353,-0.08621806814139674,0.026445274232452243
21,Subcategory_Anthologies,2.667698176628264e-06,0.029939611628038158,1.0009101524532005,0.2965005342727456,-0.13923220997879598,0.027617957210025246
22,Subcategory_Apparel,0.00022408664683677416,-0.05250239186359878,0.9951768872602105,-0.1750639723800832,0.17742153053310775,0.02083345608412701
23,Subcategory_Apps,0.00016539728695095235,-0.07277157543456667,0.9936381688746194,-0.2545169189131088,0.2672541919394946,0.058105064749018
24,Subcategory_Architecture,0.0,-0.01234957037577303,0.9996280995287965,-0.12345447983639213,0.16413701325924704,0.0008287329742157068
25,Subcategory_Art,0.0002134158541302611,-0.0010390659085778519,0.9998968494460355,-0.0032164942954082676,0.09470832807107757,-0.038485245866424656
26,Subcategory_Art Books,1.0670792706513055e-05,0.023476818934722213,1.0012919124666881,0.1290657466006041,-0.013735338467889241,-0.03721541852643595
