label,timestamp,duration,pkg,dram,socket
bar,1708620779.770617,42055.193,1037473.0,35888.0,0
bar,1708620779.851954,21824.596,376708.0,18677.0,0
bar,1708620779.8765335,38611.016,1071774.0,36926.0,0
bar,1708620780.2145755,25740.883,387023.0,19592.0,0
bar,1708620784.4888167,24967.976,858884.0,18738.0,0
bar,1708620784.520618,45554.46,654173.0,43579.0,0
bar,1708620784.5788152,23825.676,665342.0,21423.0,0
bar,1708620784.6115193,35894.854,960081.0,37963.0,0
bar,1708620784.7031798,56413.539,1298031.0,89172.0,0
bar,1708620784.8105197,40466.602,904294.0,60913.0,0
bar,1708620785.1000428,209422.805,5258043.0,493773.0,0
bar,1708620785.4267797,235068.222,6213546.0,251892.0,0
bar,1708620785.7476776,108191.46,2982414.0,175658.0,0
bar,1708620785.8597856,29915.602,1065793.0,28930.0,0
bar,1708620785.927262,20264.914,709532.0,16724.0,0
bar,1708620785.9502637,37213.624,1381527.0,33020.0,0
bar,1708620786.2442458,24321.072,598815.0,19043.0,0
bar,1708620790.1794462,23346.06,427184.0,17944.0,0
bar,1708620790.209732,46031.705,1528560.0,52063.0,0
bar,1708620790.2687852,22404.0,816160.0,19409.0,0
bar,1708620790.3001318,34220.369,938719.0,32959.0,0
bar,1708620790.387989,55390.965,1439571.0,85693.0,0
bar,1708620790.4931388,39396.836,871702.0,60364.0,0
bar,1708620790.770328,206383.293,4983507.0,496214.0,0
bar,1708620791.0851035,232744.856,5231737.0,243041.0,0
bar,1708620791.4032857,106151.329,2597649.0,173278.0,0
bar,1708620791.5134037,29420.607,1129452.0,25085.0,0
bar,1708620791.5802932,20245.532,648314.0,18189.0,0
bar,1708620791.6032937,36682.76,1146421.0,31616.0,0
bar,1708620791.889413,24274.498,389343.0,19165.0,0
bar,1708620795.83466,23684.446,822996.0,17151.0,0
bar,1708620795.8663783,43977.228,1099729.0,41748.0,0
bar,1708620795.9231474,23028.549,769164.0,20142.0,0
bar,1708620795.9551523,34596.712,1106076.0,35400.0,0
bar,1708620796.0431325,55348.208,1591975.0,87890.0,0
bar,1708620796.1482017,39045.867,1242733.0,58960.0,0
bar,1708620796.4289408,203581.421,4338185.0,488280.0,0
bar,1708620796.741348,237955.98,7356854.0,254699.0,0
bar,1708620797.0656793,105824.998,3417899.0,172729.0,0
bar,1708620797.1755195,29773.273,825133.0,27344.0,0
bar,1708620797.2424378,20183.285,390502.0,18066.0,0
bar,1708620797.2653263,36596.728,1654780.0,31921.0,0
bar,1708620797.5525873,24308.68,632140.0,19958.0,0
bar,1708620801.4786744,23244.814,329040.0,16907.0,0
bar,1708620801.510412,44534.637,1478512.0,42237.0,0
bar,1708620801.5680385,23323.715,394469.0,22522.0,0
bar,1708620801.6003544,34470.128,1269528.0,37414.0,0
bar,1708620801.6888092,56189.952,1096555.0,90698.0,0
bar,1708620801.7944965,38861.938,1305905.0,57678.0,0
bar,1708620802.086442,202848.671,5404100.0,486144.0,0
bar,1708620802.3995106,237094.713,6402083.0,244995.0,0
bar,1708620802.7238848,105814.046,2119929.0,172790.0,0
bar,1708620802.8336878,29661.587,1062558.0,30030.0,0
bar,1708620802.90023,20136.985,468139.0,18127.0,0
bar,1708620802.9231057,36540.968,1136105.0,31616.0,0
bar,1708620803.2130377,24056.937,1037046.0,18188.0,0
bar,1708620807.2061663,23104.129,739927.0,17028.0,0
bar,1708620807.236185,44367.837,1312497.0,42175.0,0
bar,1708620807.2934706,22660.999,813962.0,19409.0,0
bar,1708620807.3253775,33305.118,692808.0,31433.0,0
bar,1708620807.4143593,55140.738,1921626.0,90087.0,0
bar,1708620807.520108,38901.548,1289730.0,58349.0,0
bar,1708620807.8050556,205427.671,5855210.0,489195.0,0
bar,1708620808.1216154,239521.635,6617231.0,249633.0,0
bar,1708620808.4495606,106056.211,2525811.0,172607.0,0
bar,1708620808.5596037,30330.559,1269467.0,27832.0,0
bar,1708620808.6268237,20340.859,522642.0,18372.0,0
bar,1708620808.6499484,37097.746,1182858.0,34790.0,0
bar,1708620808.9443743,24304.988,381042.0,21484.0,0
bar,1708620812.973942,23972.483,742979.0,18005.0,0
bar,1708620813.0062876,44913.14,1097470.0,42542.0,0
bar,1708620813.0640619,22303.72,789915.0,20691.0,0
bar,1708620813.0953875,34593.143,1226132.0,35095.0,0
bar,1708620813.1852825,55822.507,1632381.0,93567.0,0
bar,1708620813.2917106,38767.707,707579.0,58227.0,0
bar,1708620813.5824366,203729.579,4742480.0,491271.0,0
bar,1708620813.8984208,241944.264,5917282.0,249328.0,0
bar,1708620814.2286446,107635.371,3429435.0,175842.0,0
bar,1708620814.3402958,29661.323,1002195.0,25879.0,0
bar,1708620814.4073994,20239.874,595030.0,16784.0,0
bar,1708620814.4303746,37581.339,987058.0,33203.0,0
bar,1708620814.7268782,24345.198,558287.0,18127.0,0
bar,1708620818.8070793,23734.786,404113.0,17883.0,0
bar,1708620818.8392696,45071.476,1314694.0,42236.0,0
bar,1708620818.8972175,22564.485,659056.0,20813.0,0
