,variable,importance,correlation,unbalance,statistical_parity,equalized_odds,average_odds
0,age,0.030000000000000027,0.03860506952312748,0.9502923976608187,-0.044184535412605586,-0.09713114754098356,0.08122157244964257
1,people_liable_for,0.0,0.133998417172066,,-0.72,1.2792617775619233,
2,sex,0.02100000000000002,0.019487798889447613,0.9837962962962964,-0.01822916666666663,-0.05396586243170781,0.04340277777777779
3,status=A11,0.04400000000000004,-0.2650468854747241,1.097972972972973,0.2713097713097713,-0.41611078152453473,-0.077962577962578
4,status=A12,0.02100000000000002,-0.2394201085048437,1.0919540229885056,0.24075235109717874,-0.3214545190351642,-0.1316614420062696
5,status=A13,0.015000000000000013,-0.03000994244042291,1.004728132387707,0.05673758865248235,0.10579049198452184,-0.26595744680851063
6,status=A14,0.07299999999999998,0.46912575935807976,0.7586367880485528,-0.4290901545803507,0.9239533651298357,0.23342670401493926
7,credit_history=A30,0.007000000000000006,-0.21672865193427177,1.0237686139747997,0.5704467353951891,-1.110154949417339,-0.42955326460481097
8,credit_history=A31,0.0020000000000000018,-0.24032148238822104,1.0361552028218697,0.47330447330447334,-0.7865079365079366,-0.3126503126503127
9,credit_history=A32,0.025000000000000022,0.0017926199707561487,0.9987515605493134,-0.0016195971252150887,0.07341585282761753,-0.005061241016297124
10,credit_history=A33,0.0010000000000000009,-0.07626738588707158,1.014957264957265,0.11965811965811957,-0.19875320010030384,0.030525030525030528
11,credit_history=A34,0.05400000000000005,0.25384109984608993,0.9037290715372908,-0.2567224759005581,0.44086308062743995,0.13952308472856423
12,purpose=A40,0.05800000000000003,-0.2729042654471797,1.1035007610350076,0.27600202942668695,-0.5434353858502465,-0.01268391679350589
13,purpose=A41,0.026000000000000023,0.11020817548319503,0.9790528233151183,-0.1774349083895853,0.3506531204644412,0.08036001285760197
14,purpose=A410,0.0,0.04420650995107754,0.9980457844779453,-0.2814070351758794,-0.2780630961115187,0.25125628140703515
15,purpose=A42,0.020000000000000018,0.06236688936951152,0.9793447293447295,-0.06759906759906753,0.22526546397514147,-0.05827505827505819
16,purpose=A43,0.02300000000000002,0.1470264764410802,0.9421134421134423,-0.1462397251870936,0.2956258027686599,0.030671083302662216
17,purpose=A44,0.0,0.06267511942419625,0.9960718294051627,-0.2828282828282829,-0.27684729064039415,0.2525252525252525
18,purpose=A45,0.0,-0.014658211317401438,1.0011280315848845,0.05414551607445017,-0.2847117794486216,0.25380710659898476
19,purpose=A46,0.0010000000000000009,-0.06301738839305465,1.0074841681059297,0.15396002960769806,-0.20454545454545459,-0.03700962250185047
20,purpose=A48,0.0,0.04420650995107754,0.9980457844779453,-0.2814070351758794,-0.2780630961115187,0.25125628140703515
21,purpose=A49,0.0,-0.003491597976698888,1.0005973715651135,0.006144393241167445,0.117881101087208,-0.11520737327188935
22,savings=A61,0.03400000000000003,-0.1349438404993561,1.100948509485095,0.12319140140553952,-0.19043347003873323,-0.03100454733360891
23,savings=A62,0.007000000000000006,-0.12317891599400904,1.0296934865900385,0.16445623342175075,-0.3543219598494083,-0.06631299734748008
24,savings=A63,0.0,0.04087595596566439,0.9941520467836259,-0.08421052631578951,-0.3943191311612364,0.1578947368421053
25,savings=A64,0.0010000000000000009,0.0704661937220392,0.9910300925925928,-0.16145833333333337,-0.40163407102418935,0.13020833333333337
26,savings=A65,0.025000000000000022,0.21686965526227495,0.9344993141289437,-0.24821312540610785,0.6247619047619047,0.01624431448992858
27,employment=A71,0.007000000000000006,0.019702760155977515,0.996376811594203,-0.03260869565217395,0.26417910447761195,-0.2717391304347826
28,employment=A72,0.02100000000000002,-0.170888592920911,1.0524499654934438,0.1936614110527154,-0.4071658615136876,-0.03981525720656154
29,employment=A73,0.01100000000000001,0.021962568157967564,0.9906045751633986,-0.02113970588235292,0.06775362318840578,-0.022977941176470562
30,employment=A74,0.01200000000000001,0.05396481881712979,0.9834368530020703,-0.061156235069278586,-0.12805576776165017,0.11944577161968462
31,employment=A75,0.007000000000000006,0.07545892771440274,0.9757383966244727,-0.08318264014466548,0.14281876533936344,0.07534659433393609
32,other_debtors=A101,0.0,-0.04046840883803798,1.080246913580247,0.06349206349206349,-0.1827342176618174,0.030525030525030528
33,other_debtors=A102,0.0010000000000000009,-0.04318895744254016,1.0054976851851851,0.09895833333333337,-0.1179971988795519,-0.13020833333333337
34,other_debtors=A103,0.010000000000000009,0.09197090092274487,0.9868421052631581,-0.18947368421052635,0.4080808080808081,0.052631578947368474
35,property=A121,0.04200000000000004,0.2828894749305018,0.898148148148148,-0.29333333333333333,0.6987176700717236,0.013333333333333308
36,property=A122,0.006000000000000005,0.16044868334691767,0.941461595824012,-0.16528490590867218,0.40556851367239355,-0.006579813133307022
37,property=A123,0.015000000000000013,-0.23413840341376058,1.10479797979798,0.22192513368983957,-0.531763652306946,-0.022281639928698693
38,property=A124,0.01200000000000001,-0.22523797696135753,1.060157790927022,0.27944264172552014,-0.5040391508133444,0.028631418209581927
39,installment_plans=A141,0.006000000000000005,-0.14345889447498128,1.0375816993464053,0.18039215686274512,-0.18768037518037517,-0.13725490196078438
40,installment_plans=A142,0.0030000000000000027,-0.06131393394849658,1.0087719298245614,0.12631578947368427,-0.16471215351812368,-0.1578947368421053
41,installment_plans=A143,0.031000000000000028,0.16147033365542307,0.7986111111111112,-0.18125000000000002,0.21262106537530273,0.15625
42,housing=A151,0.01100000000000001,-0.11362336023709564,1.03319783197832,0.13279132791327908,-0.302788275554233,0.0
43,housing=A152,0.029000000000000026,0.18265046063981677,0.8239171374764596,-0.1798293064070201,0.3466635466635467,-0.018031013342949875
