,Statistical Parity,Equal Opportunity,Average Odds
0,0.17577841641959757,0.1493329679007108,0.31381007148971507
1,0.1791185124974166,0.15166861244040028,0.3175919032428896
2,0.17167217431355739,0.14868272921270803,0.31664083492260814
3,0.16733150130084753,0.1512585340972313,0.30803148723023305
4,0.17056824770284823,0.14454630395241005,0.3115579797710822
5,0.18281030455924943,0.1524047356328977,0.3218689075686532
6,0.17789589652135768,0.1498018771820912,0.3238796616105835
7,0.17600145744383133,0.14805051885346007,0.3248584424331337
8,0.17692330989493568,0.14827623642322738,0.3256297148952351
9,0.17750877962583092,0.14553078605816366,0.32077306740887385
