,Statistical Parity,Equal Opportunity,Average Odds
0,0.19608564332770984,0.1874753819185959,0.3504551713426712
1,0.19235961340061333,0.19063406666066543,0.360950828645643
2,0.21478224718678118,0.1945032808863234,0.39361599538170444
3,0.18338548425260315,0.1837954088074895,0.3452340772957507
4,0.1722278041062902,0.16809012708424628,0.3363017127327148
5,0.16613873320442027,0.15050277870096987,0.3315638199449722
6,0.17361450312987847,0.1757835013759624,0.3236766363718661
7,0.19409010061556994,0.1646283774821761,0.3554774719538329
8,0.16145493064349595,0.16444566139175393,0.3159064007805904
9,0.17300392603448098,0.15463761413622656,0.3502502250459234
