,variable,importance,correlation,unbalance,statistical_parity,equalized_odds
0,race,0.0022301228183581046,0.10633613038592149,0.3661971830985915,-0.137987012987013,0.3122366357712778
1,sex,0.03506787330316741,0.20914314639131043,0.39571478701225427,-0.17613432795851464,0.1876289819138906
2, 10th,0.003975436328377491,-0.08973146242376817,1.0332275839038236,0.20153614960761396,-0.6560224478058734
3, 11th,0.0036845507433742597,-0.09606136020850232,1.038080858916289,0.20248280489850695,-0.6583938775900245
4, 12th,0.0009049773755656076,-0.05561885710141449,1.0127659574468084,0.19754500818330606,-0.6520855579494256
5, 1st-4th,0.0005817711700064621,-0.0360444419037866,1.00536149471974,0.19610073111291632,-0.6502261887556005
6, 5th-6th,0.0012928248222365823,-0.05150170130971842,1.010945923868649,0.19719000163371997,-0.6507871963754317
7, 7th-8th,0.002779573367808652,-0.07239394194546644,1.021627868581806,0.19927356777282484,-0.6540984897581795
8, 9th,0.0020685197155785318,-0.06179467228214495,1.015758371634931,0.19812869336835193,-0.6523869428748943
9, Assoc-acdm,0.003070458952811883,0.016607528787469378,0.9938502277649869,-0.03730037732492819,-0.013001600135945535
10, Assoc-voc,0.005042016806722671,-0.01220296226091756,1.0052641469489116,0.023797098754069657,-0.18893053845564217
11, Bachelors,0.049224305106658095,0.2906982086568092,0.7471010803778495,-0.31829926588523016,0.4806428940305868
12, Doctorate,0.008661926308985102,0.1926154058110775,0.9546555454574812,-0.6674482516197582,0.9951864798085167
13, HS-grad,0.006205559146735595,-0.23329974615114446,1.3323644858543742,0.19664898746383802,-0.5156228442685109
14, Masters,0.020782159017453172,0.22493963567808326,0.8898190786304696,-0.39114227086183306,0.4603735823544363
15, Preschool,0.00025856496444731647,-0.018787003716946644,1.001456546366726,0.19533905162647677,-0.6490933570312345
16, Prof-school,0.008855850032320589,0.20382508597756205,0.9477478894050562,-0.6501886338979093,0.7739671092340707
17, Some-college,0.010762766645119548,-0.06695565332718918,1.0723261626141594,0.06400123040710426,-0.14906909551410163
18, Divorced,0.016321913380736942,-0.17474602872496195,1.1373749744845887,0.20572158089689646,-0.5447696962184083
19, Married-AF-spouse,0.0009049773755656076,0.02397569024452239,0.998482646119356,-0.30524102232287287,0.7516853411308899
20, Married-civ-spouse,0.0788299935358759,0.49493784355001613,0.048676746543580014,-0.3928317368874098,0.744197488557469
21, Married-spouse-absent,0.0017129928894634716,-0.050798210443383146,1.0114302698244102,0.18395114237417526,-0.5532255042485221
22, Never-married,0.03849385908209435,-0.3308582476794124,1.4660155236275272,0.2799804564551645,-0.6430288700291324
23, Separated,0.0036845507433742597,-0.08426849028832079,1.0301354947411896,0.19555667823986986,-0.5793167629201904
24, Widowed,0.0009372979961215222,-0.08352643160391886,1.0296208558595537,0.1953681585927938,-0.5948167458500484
25, ?,0.0007433742727860349,-0.09361093432470409,1.0464209917036467,0.1610061407652338,-0.4031320264816289
26, Adm-clerical,0.004524886877828038,-0.10394030972226435,1.07877159866415,0.12576365024818634,-0.24917184247417323
27, Craft-repair,0.001325145442792497,-0.12404146849609483,1.0970963120967827,0.1464940608760208,-0.5093352321661858
28, Exec-managerial,0.0359405300581771,0.32051614043727916,0.7602170187578029,-0.39163472037798647,0.5231634671579698
29, Farming-fishing,0.0060439560439560225,-0.08621971025297873,1.0315103836230597,0.19604656202594345,-0.6554733835449749
30, Handlers-cleaners,0.003361344537815114,-0.10329948449669527,1.0440357685169563,0.20364433946347224,-0.6608905256417523
31, Machine-op-inspct,0.0012928248222365823,-0.11421361419348344,1.0594304591107866,0.1882744465793162,-0.5737454785897209
32, Other-service,0.011312217194570096,-0.16777478349778804,1.1161616161616161,0.21771284271284272,-0.672198524837821
33, Priv-house-serv,0.00025856496444731647,-0.02803097341395426,1.003242542153048,0.19568741893644617,-0.6492722745502583
34, Prof-specialty,0.020426632191338112,0.268539507488585,0.7926709508019077,-0.32041762148796066,0.4552843406564203
35, Protective-serv,0.003975436328377491,0.004109353824896082,0.99879647399408,-0.011529014993218206,-0.05037040053165098
36, Sales,0.015190691661279888,0.08918892957729334,0.9374488930326397,-0.11456629151684963,0.2388232928194667
37, Tech-support,0.009793148028442111,0.06543362236802987,0.977256754097439,-0.1559721466158592,0.2284659843744325
38, Transport-moving,0.00035552682611506015,-0.08712851358437967,1.0401617863510717,0.15998440965591887,-0.5117079258618954
39, Husband,0.016418875242404707,0.4290150955628069,0.2640026203734032,-0.34485591506572294,0.47455460373694536
40, Not-in-family,0.005817711700064621,-0.2619355995742797,1.3085361662525357,0.23917993106410446,-0.6140563305526698
41, Other-relative,0.0021008403361344463,-0.07916386635120466,1.0258620689655173,0.20009946949602123,-0.6522953973305466
42, Own-child,0.013994828700711004,-0.20955445377732781,1.1821937360299464,0.2295488928895045,-0.5713503945206748
43, Unmarried,0.0008726567550096931,-0.15958756202532762,1.107792483544483,0.21121027213992039,-0.5857315059968826
44, Wife,0.024499030381383347,0.17113772763545204,0.9181474657256177,-0.3039877195974757,0.3825322373196494
45, Canada,0.0008403361344537785,0.010145142599774332,0.99874119004375,-0.0660601572692972,0.5426185943528526
46, China,0.0,0.013837895106228208,0.9994945424242837,-0.30504364694471386,0.35132464278308095
47, Columbia,0.0003878474466709747,-0.01878700371694666,1.001456546366726,0.19533905162647677,-0.6490933570312345
48, Cuba,0.0005171299288946329,-0.0024616858081990775,1.000262472583027,0.018635553394911686,0.08932403546126091
49, Dominican-Republic,0.0003232062055591456,-0.02077317625950633,1.0017807997409747,0.19540229885057472,-0.6494964036224891
50, Ecuador,0.0,-0.006258284557617205,1.0001616292225635,0.19508647163407145,-0.6489637606646388
51, El-Salvador,0.00029088558500323103,-0.01994752694383841,1.0022488635818803,0.14286201806997637,-0.1493218746577672
52, England,0.0007110536522301203,0.0438230711119566,0.9949306735353758,-0.30593385214007784,0.5528570750224396
53, France,9.696186166774368e-05,0.014708257409334319,0.9991503281373507,-0.20511078764353877,0.601488771281547
54, Germany,0.0005494505494505475,0.007224274430277718,0.9990652988187113,-0.045127373032613965,0.10173793684980552
55, Greece,3.232062055591456e-05,0.0003548909294477398,0.9999794985341453,-0.00494905385735081,-0.1490945974679762
56, Guatemala,9.696186166774368e-05,-0.023440996468754024,1.002267573696145,0.19549724651765468,-0.6491745791786174
57, Haiti,3.232062055591456e-05,-0.021698631456479583,1.0019430051813472,0.1954339378238342,-0.6491420695555874
58, Holand-Netherlands,0.0,-0.0062582845576171975,1.0001616292225635,0.19508647163407145,-0.6489637606646388
59, Honduras,3.232062055591456e-05,-0.008851266239118976,1.000323310701584,0.19511800840607824,-0.6489799361039963
60, Hungary,0.0,-0.0062582845576172,1.0001616292225635,0.19508647163407145,-0.6489637606646388
61, India,0.0002262443438914019,0.0035266492350002165,0.9998177942167884,-0.05498059508408798,-0.14907841514984377
62, Iran,0.0002262443438914019,0.007699643253849537,0.9994736254446269,-0.09076201261931724,-0.14919334303356885
63, Ireland,6.464124111182912e-05,0.0035266492350002066,0.9998177942167884,-0.05498059508408798,0.351292285025591
64, Italy,0.0005171299288946329,0.023121997403847818,0.9976084634834281,-0.18041153596889176,0.21836424241584834
65, Jamaica,0.0002262443438914019,-0.019947526943838466,1.0022488635818803,0.14286201806997637,-0.3163596679021583
66, Japan,0.00019392372333548735,-0.004433127934034597,1.000303064137942,0.052256916356576616,-0.14912698275812508
67, Mexico,0.0010665804783451804,-0.05935404253389593,1.0167385469131707,0.17267885576236755,-0.24224120080679845
68, Nicaragua,3.232062055591456e-05,-0.01399847555043886,1.0008086689309397,0.19521267992883715,-0.6493991236220253
69, Outlying-US(Guam-USVI-etc),9.696186166774368e-05,-0.012519604784250755,1.000646830530401,0.19518111254851228,-0.649012307623425
70, Peru,6.464124111182912e-05,-0.022586480311653025,1.0021052631578948,0.1954655870445344,-0.6495288855541878
71, Philippines,0.00019392372333548735,0.013837895106228201,0.9994945424242837,-0.30504364694471386,0.35132464278308095
72, Poland,0.0001616031027795728,-0.006361037441176983,1.0004649254751812,0.07014563106796118,-0.4829394287904926
73, Portugal,0.0,-0.012519604784250814,1.000646830530401,0.19518111254851228,-0.649012307623425
74, Puerto-Rico,0.0005171299288946329,-0.02567069921763049,1.0033874130861116,0.1572541382667965,-0.3164737674875115
75, Scotland,0.0,0.0035266492350001944,0.9998177942167884,-0.05498059508408798,0.351292285025591
76, Thailand,0.0,0.025826441906786582,0.9993329948984354,-0.805075157588492,0.3513408113480485
77, Trinadad&Tobago,6.464124111182912e-05,0.0003548909294477438,0.9999794985341453,-0.00494905385735081,-0.4488157830145537
78, United-States,0.0036845507433742597,0.03738038488911465,0.7492957746478872,-0.05338743824982356,0.0034182999686605403
79, Yugoslavia,0.0,-0.012519604784250793,1.000646830530401,0.19518111254851228,-0.6497540908255194
80,Not known,0.0,0.015649939548870825,0.9958637610378789,-0.04847029541048736,0.08887008852728781
81,age between 10 and 20,0.006819650937297972,-0.1172097857282246,1.0566939890710383,0.20611338797814208,-0.6547217733052692
82,age between 20 and 30,0.026179702650290904,-0.2568196386626166,1.2914740350499947,0.2390007882509127,-0.5880504932959212
83,age between 30 and 40,0.006658047834518399,0.010071122647926587,0.987734844921904,-0.009048925537446129,-0.026907777449257042
84,age between 40 and 50,0.030155138978668394,0.19685817485034146,0.7829571571689551,-0.18605874381894258,0.21232456663831178
85,age between 50 and 60,0.021525533290239207,0.13800314654107462,0.8888174756412045,-0.15956873591089896,0.12570522022024305
86,age between 60 and 70,0.005979314802844193,0.026373888736207843,0.9860855663565661,-0.04295325168190442,-0.004990198188642492
87,age>70,0.0007756948933419494,-0.03757817456256982,1.0101742031134173,0.11370614035087719,-0.16296162667677722
88,hour<10,0.0021654815772462754,-0.057454450033020146,1.0144172665195437,0.18711441601171416,-0.5095472888693228
89,hours between 10 and 20,0.003587588881706516,-0.08112614369364614,1.0322336704792514,0.17064052749322972,-0.33525664236394775
90,hours between 20 and 30,0.004524886877828038,-0.1097433421917662,1.0600043937803598,0.17326627582032122,-0.27891005211508657
91,hours between 30 and 40,0.0007110536522301203,-0.09660107210068362,1.0706487923525088,0.12010294699926465,-0.15039196753376308
92,hour between 40 and 50,0.025468648998060783,-0.06671390228454148,1.1550031258044349,0.05334724061760848,-0.1571590495945857
93,hour>70,0.04395604395604391,0.28463767156450637,0.7117052598074322,-0.2824446034191797,0.3569801313067993
