,variable,correlation_true,mutual_info,unpriv_prob_pos,priv_prob_pos,unbalance,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy,unpriv_prob_neg,priv_prob_neg,pos_prob,neg_prob
0,gender,-0.2941300591415154,0.049893988934093275,0.14285714285714285,0.32967032967032966,0.6136363636363636,-0.30219780219780223,-0.21271585557299844,-0.17267759562841528,189,5.241747015059643,3,16,2.772588722239781,0,0,0,0,0,0,16,0,1,0.0,0.08465608465608465,-2.469158292819861,11.8125,2.469158292819861,0.2222222222222222,0.544973544973545,0.3333333333333333,0.14971457093265758,2,0,0,0,0,0,-2.0158626951795826,17.50532758381879,0.9444729369645809,4.792344567711966,-2.0158626951795826,-3.137220836710656,0.5051020112176041,-0.43846829030721185,0.8840559027380555,0.07471925382091649,4.9376693945708325,0.8571428571428572,0.6703296703296704,-0.18681318681318682,0.18681318681318682
1,race,-0.025538765201017104,0.02114327323161516,0.3333333333333333,0.22413793103448276,1.4318181818181819,0.1264367816091954,-0.32183908045977017,0.19344729344729344,189,5.241747015059643,3,16,2.772588722239781,0,0,0,0,0,0,16,0,1,0.0,0.08465608465608465,-2.469158292819861,11.8125,2.469158292819861,0.2222222222222222,0.544973544973545,0.3333333333333333,0.14971457093265758,2,0,0,0,0,0,-2.0158626951795826,17.50532758381879,0.9444729369645809,4.792344567711966,7.925918875994121,-3.137220836710656,0.5051020112176041,-0.43846829030721185,0.8840559027380555,-3.137220836710656,4.9376693945708325,0.6666666666666667,0.7758620689655172,0.10919540229885055,-0.1091954022988505
0,gender,-0.1542610318246303,0.01322860211707369,0.16666666666666666,0.27956989247311825,0.75,-0.2718413978494624,-0.137768817204301,-0.234306831228473,189,5.241747015059643,3,16,2.772588722239781,0,0,0,0,0,0,16,0,1,0.0,0.08465608465608465,-2.469158292819861,11.8125,2.469158292819861,0.21693121693121692,0.5608465608465608,0.3333333333333333,0.16089064651570348,2,0,0,0,0,0,-2.020470126372372,19.940759028658107,1.1534639954685888,5.241228535144341,-2.020470126372372,-3.0080484682407715,0.6905619809373857,-0.2648066345344324,0.7892338233680614,0.032004598558552026,4.952570507388752,0.8333333333333334,0.7204301075268817,-0.1129032258064516,0.11290322580645162
1,race,0.04873767815229097,0.0020307210181563506,0.3125,0.2138728323699422,1.4062500000000002,0.22940751445086704,0.03973988439306353,0.1330502962855904,189,5.241747015059643,3,16,2.772588722239781,0,0,0,0,0,0,16,0,1,0.0,0.08465608465608465,-2.469158292819861,11.8125,2.469158292819861,0.21693121693121692,0.5608465608465608,0.3333333333333333,0.16089064651570348,2,0,0,0,0,0,-2.020470126372372,19.940759028658107,1.1534639954685888,5.241228535144341,7.123629573199617,-3.0080484682407715,0.6905619809373857,-0.2648066345344324,0.7892338233680614,-3.0080484682407715,4.952570507388752,0.6875,0.7861271676300579,0.0986271676300578,-0.09862716763005785
0,gender,-0.3160779640888935,0.08048994949369825,0.044444444444444446,0.3434343434343434,0.22105263157894736,-0.23838383838383836,-0.08989898989898992,0.01814427023045352,189,5.241747015059643,3,16,2.772588722239781,0,0,0,0,0,0,16,0,1,0.0,0.08465608465608465,-2.469158292819861,11.8125,2.469158292819861,0.20105820105820105,0.5714285714285714,0.3333333333333333,0.1687048189568694,2,0,0,0,0,0,-2.012169303871908,16.86892585341742,0.8947302983680329,4.398729253356446,-2.012169303871908,-2.678205553835845,0.4831029231334824,-0.45107124233975576,0.8950146660136836,-0.09611073037543356,4.978759370576185,0.9555555555555556,0.6565656565656566,-0.298989898989899,0.29898989898989903
1,race,-0.013296855577537209,0.005825681135730572,0.2631578947368421,0.19411764705882353,1.3088642659279779,0.22136222910216716,-0.13622291021671817,0.2616519733308054,189,5.241747015059643,3,16,2.772588722239781,0,0,0,0,0,0,16,0,1,0.0,0.08465608465608465,-2.469158292819861,11.8125,2.469158292819861,0.20105820105820105,0.5714285714285714,0.3333333333333333,0.1687048189568694,2,0,0,0,0,0,-2.012169303871908,16.86892585341742,0.8947302983680329,4.398729253356446,5.227998254675349,-2.678205553835845,0.4831029231334824,-0.45107124233975576,0.8950146660136836,-2.678205553835845,4.978759370576185,0.736842105263158,0.8058823529411765,0.06904024767801856,-0.06904024767801853
0,gender,-0.34249258255716564,0.0721640791027729,0.12371134020618557,0.29347826086956524,0.5995241871530531,-0.21044374719856565,-0.2503361721201255,-0.10981649069884362,189,5.241747015059643,3,16,2.772588722239781,0,0,0,0,0,0,16,0,1,0.0,0.08465608465608465,-2.469158292819861,11.8125,2.469158292819861,0.20634920634920634,0.5185185185185185,0.3333333333333333,0.13392271962306618,2,0,0,0,0,0,-2.0186283930071873,12.818961146980081,0.48190963845964385,3.394718157674097,-2.0186283930071873,-2.332847210226262,0.4842855993894502,-0.29883651471711714,0.7031833425946753,0.05335295076246468,4.965618877657928,0.8762886597938144,0.7065217391304348,-0.16976692066337967,0.16976692066337962
1,race,0.06728892235092306,0.00886916138612008,0.34782608695652173,0.18674698795180722,1.6856187290969902,0.04871660555264537,0.022524882137244573,-0.023491636798088404,189,5.241747015059643,3,16,2.772588722239781,0,0,0,0,0,0,16,0,1,0.0,0.08465608465608465,-2.469158292819861,11.8125,2.469158292819861,0.20634920634920634,0.5185185185185185,0.3333333333333333,0.13392271962306618,2,0,0,0,0,0,-2.0186283930071873,12.818961146980081,0.48190963845964385,3.394718157674097,3.47887913339688,-2.332847210226262,0.4842855993894502,-0.29883651471711714,0.7031833425946753,-2.332847210226262,4.965618877657928,0.6521739130434783,0.8132530120481928,0.1610790990047145,-0.1610790990047145
0,gender,-0.462628091989232,0.13018595753582363,0.07777777777777778,0.3333333333333333,0.36750000000000005,-0.26565656565656565,-0.32020202020202015,-0.017172586449694868,189,5.241747015059643,3,16,2.772588722239781,0,0,0,0,0,0,16,0,1,0.0,0.08465608465608465,-2.469158292819861,11.8125,2.469158292819861,0.21164021164021163,0.5079365079365079,0.3333333333333333,0.12661616293331615,2,0,0,0,0,0,-2.012169303871909,32.94903409453247,2.3319821716088875,8.548819381645655,-2.012169303871909,-3.804331450410907,0.6885346557203035,-0.48919114874086844,1.0675326301296186,-0.09611073037543358,4.958057154758974,0.9222222222222223,0.6666666666666667,-0.25555555555555554,0.25555555555555554
1,race,0.10427820866899092,0.009213173582639227,0.45454545454545453,0.19662921348314608,2.147727272727273,0.3488253319713993,-0.04187946884576099,0.2500832500832501,189,5.241747015059643,3,16,2.772588722239781,0,0,0,0,0,0,16,0,1,0.0,0.08465608465608465,-2.469158292819861,11.8125,2.469158292819861,0.21164021164021163,0.5079365079365079,0.3333333333333333,0.12661616293331615,2,0,0,0,0,0,-2.012169303871909,32.94903409453247,2.3319821716088875,8.548819381645655,12.606231993125245,-3.804331450410907,0.6885346557203035,-0.48919114874086844,1.0675326301296186,-3.804331450410907,4.958057154758974,0.5454545454545454,0.8033707865168539,0.2579162410623085,-0.2579162410623085
