,variable,correlation_true,correlation_pred,mutual_info,unpriv_prob,priv_prob,unbalance,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy
0,race,0.0845306038418412,0.12611181178521347,0.004036097459245699,0.1292517006802721,0.2525,0.5367849153084052,-0.1670578231292517,-0.05578231292517,0.4430370092281973,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1,0.0,0.03329023917259211,-3.4024910429033755,30.038834951456312,3.402491042903376,0.24078862314156432,0.7592113768584356,0.5,0.25921137685843565,2,0,0,0,0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,5.639858197196586,-3.085847847200726,55.62373594069352,10.981505447738483,14.472035956249085,-2.763369852206404,6.61338421837956
1,sex,0.2300646010734255,0.1908061420152609,0.029481677713473056,0.10174418604651163,0.31037827352085356,0.42254565319182147,-0.1572070090752562,-0.12714005368461412,0.11664857982642483,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1,0.0,0.03329023917259211,-3.4024910429033755,30.038834951456312,3.402491042903376,0.24078862314156432,0.7592113768584356,0.5,0.25921137685843565,2,0,0,0,0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,-1.501940492199525,-3.085847847200726,55.62373594069352,10.981505447738483,14.472035956249085,-0.7064211201277086,6.61338421837956
2, 10th,-0.07962715892785623,-0.08576959982698171,0.004225409088769033,0.24691358024691357,0.05154639175257732,1.0254370701797995,0.19119119119119118,0.11829011141725909,-0.6190075321222862,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1,0.0,0.03329023917259211,-3.4024910429033755,30.038834951456312,3.402491042903376,0.24078862314156432,0.7592113768584356,0.5,0.25921137685843565,2,0,0,0,0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,26.974783893554726,-3.085847847200726,55.62373594069352,10.981505447738483,14.472035956249085,5.381203162193258,6.61338421837956
3, 11th,-0.09125179448661089,-0.09409304778046962,0.005677115853235604,0.24848891873740767,0.04310344827586207,1.031979482649046,0.19241101410342512,0.12781663231513862,-0.619650749945656,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1,0.0,0.03329023917259211,-3.4024910429033755,30.038834951456312,3.402491042903376,0.24078862314156432,0.7592113768584356,0.5,0.25921137685843565,2,0,0,0,0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,21.748434966906025,-3.085847847200726,55.62373594069352,10.981505447738483,14.472035956249085,4.871794014905299,6.61338421837956
4, 12th,-0.05140266302829306,-0.045606072933953856,0.0017122127587705788,0.2435182146373482,0.06382978723404255,1.0113360484402085,0.14484424861565962,0.060666578217849376,-0.569643302304048,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1,0.0,0.03329023917259211,-3.4024910429033755,30.038834951456312,3.402491042903376,0.24078862314156432,0.7592113768584356,0.5,0.25921137685843565,2,0,0,0,0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,60.94559627217747,-3.085847847200726,55.62373594069352,10.981505447738483,14.472035956249085,7.931342931187308,6.61338421837956
5, 1st-4th,-0.028673694950313036,-0.024273808465295955,0.0007133442654388561,0.24141283214517173,0.0,1.002592352559948,0.18567725210628647,0.16655865197666886,-0.612643022399078,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1,0.0,0.03329023917259211,-3.4024910429033755,30.038834951456312,3.402491042903376,0.24078862314156432,0.7592113768584356,0.5,0.25921137685843565,2,0,0,0,0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,382.37217672528783,-3.085847847200726,55.62373594069352,10.981505447738483,14.472035956249085,19.599107300357176,6.61338421837956
6, 5th-6th,-0.027000454652751252,-0.04388841374805926,0.0004261781426234054,0.24185136897001303,0.11538461538461539,1.0044136048231145,0.18676662320730117,0.05117340286831806,-0.6152957427231831,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1,0.0,0.03329023917259211,-3.4024910429033755,30.038834951456312,3.402491042903376,0.24078862314156432,0.7592113768584356,0.5,0.25921137685843565,2,0,0,0,0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,114.19487215945331,-3.085847847200726,55.62373594069352,10.981505447738483,14.472035956249085,10.775948013022354,6.61338421837956
7, 7th-8th,-0.05009868803875169,-0.07253523371755063,0.0015040554907051248,0.24404761904761904,0.1,1.0135346756152126,0.18948412698412698,0.06765873015873014,-0.6195185967607707,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1,0.0,0.03329023917259211,-3.4024910429033755,30.038834951456312,3.402491042903376,0.24078862314156432,0.7592113768584356,0.5,0.25921137685843565,2,0,0,0,0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,39.28854955135968,-3.085847847200726,55.62373594069352,10.981505447738483,14.472035956249085,6.423640195246879,6.61338421837956
8, 9th,-0.05443081641547219,-0.06873345811865256,0.001850407241633269,0.2441438469152095,0.07936507936507936,1.0139343118867896,0.18904651930056088,0.08856629641849034,-0.6178831384854955,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1,0.0,0.03329023917259211,-3.4024910429033755,30.038834951456312,3.402491042903376,0.24078862314156432,0.7592113768584356,0.5,0.25921137685843565,2,0,0,0,0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,44.20523966306676,-3.085847847200726,55.62373594069352,10.981505447738483,14.472035956249085,6.795341438038589,6.61338421837956
9, Assoc-acdm,0.007083134045777773,-0.01563781600771971,2.4677157440061714e-05,0.24029206770660472,0.25925925925925924,0.9979377952808524,0.03804501481235634,-0.01956951973546739,-0.13764074639942658,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1,0.0,0.03329023917259211,-3.4024910429033755,30.038834951456312,3.402491042903376,0.24078862314156432,0.7592113768584356,0.5,0.25921137685843565,2,0,0,0,0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,33.28011034060008,-3.085847847200726,55.62373594069352,10.981505447738483,14.472035956249085,5.937895088136934,6.61338421837956
