,variable,correlation_true,spearman_correlation,mutual_info,unpriv_prob_pos,priv_prob_pos,unbalance,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy,unpriv_prob_neg,priv_prob_neg,pos_prob,neg_prob
0,gender_Female,-0.018650383714590213,-0.018650383714590213,0.000174174050739051,0.2140724946695096,0.22963367960634226,0.9622861211358653,-0.013115707100675639,0.002080979932019944,-0.0017945141560497756,10177,9.227885551191932,2,102,4.624972813284271,0,0,0,0,0,0,102,0,1,0.0,0.010022599980347843,-4.60291273790766,99.77450980392157,4.60291273790766,0.2224624152500737,0.7775375847499263,0.5,0.2775375847499263,2,0,0,0,0,0,-1.9826047421109967,10177.000000000013,890.057273127578,2240.7998866431017,-1.9756974082661074,-71.32320593733161,100.8811181539936,9.673434990465395,28.118869563724644,-0.15713337493657353,8.976262255609193,0.7859275053304904,0.7703663203936577,-0.015561184936832673,0.015561184936832673
1,gender_Male,0.018545229233837997,0.018545229233837997,0.00017221451344293093,0.22959183673469388,0.21411814885903177,1.0320477572654505,0.01302646321301576,-0.0020827931757658735,0.0017959748289885667,10177,9.227885551191932,2,102,4.624972813284271,0,0,0,0,0,0,102,0,1,0.0,0.010022599980347843,-4.60291273790766,99.77450980392157,4.60291273790766,0.2224624152500737,0.7775375847499263,0.5,0.2775375847499263,2,0,0,0,0,0,-1.9826047421109967,10177.000000000013,890.057273127578,2240.7998866431017,-1.9755725395358148,-71.32320593733161,100.8811181539936,9.673434990465395,28.118869563724644,0.15753012953035633,8.976262255609193,0.7704081632653061,0.7858818511409682,0.015473687875662112,-0.015473687875662057
2,gender_Unknown/Invalid,0.005302480489977226,0.005302480489977226,2.4726083659438623e-05,0.22248427672955975,0.0,1.0000982704402515,0.22670990566037735,0.004422169811320709,-0.5025597383944235,10177,9.227885551191932,2,102,4.624972813284271,0,0,0,0,0,0,102,0,1,0.0,0.010022599980347843,-4.60291273790766,99.77450980392157,4.60291273790766,0.2224624152500737,0.7775375847499263,0.5,0.2775375847499263,2,0,0,0,0,0,-1.9826047421109967,10177.000000000013,890.057273127578,2240.7998866431017,10177.000000000002,-71.32320593733161,100.8811181539936,9.673434990465395,28.118869563724644,100.8811181539935,8.976262255609193,0.7775157232704403,1.0,0.22248427672955975,-0.22248427672955973
3,age_[0-10),0.0007296963109014144,0.0007296963109014144,2.686023717448152e-07,0.22247367903178195,0.21428571428571427,1.0000506322908325,0.01241899888952927,0.004427826429204029,-0.0025629642017859187,10177,9.227885551191932,2,102,4.624972813284271,0,0,0,0,0,0,102,0,1,0.0,0.010022599980347843,-4.60291273790766,99.77450980392157,4.60291273790766,0.2224624152500737,0.7775375847499263,0.5,0.2775375847499263,2,0,0,0,0,0,-1.9826047421109967,10177.000000000013,890.057273127578,2240.7998866431017,722.2853512930885,-71.32320593733161,100.8811181539936,9.673434990465395,28.118869563724644,26.909912795827072,8.976262255609193,0.777526320968218,0.7857142857142857,0.008187964746067672,-0.008187964746067644
4,age_[10-20),0.024964316586016878,0.02496431658601688,0.0003720734465463664,0.22333267365921236,0.09859154929577464,1.0039119345538003,0.128996022443786,0.004452800316643524,-0.002581371820222329,10177,9.227885551191932,2,102,4.624972813284271,0,0,0,0,0,0,102,0,1,0.0,0.010022599980347843,-4.60291273790766,99.77450980392157,4.60291273790766,0.2224624152500737,0.7775375847499263,0.5,0.2775375847499263,2,0,0,0,0,0,-1.9826047421109967,10177.000000000013,890.057273127578,2240.7998866431017,138.41363701350662,-71.32320593733161,100.8811181539936,9.673434990465395,28.118869563724644,11.84847820551626,8.976262255609193,0.7766673263407876,0.9014084507042254,0.12474112436343772,-0.12474112436343776
5,age_[20-30),0.013313316886629161,0.013313316886629161,9.302586407093291e-05,0.22318840579710145,0.18023255813953487,1.0032634301223946,0.04725369873202934,0.004497751124437732,-0.0026067601981137503,10177,9.227885551191932,2,102,4.624972813284271,0,0,0,0,0,0,102,0,1,0.0,0.010022599980347843,-4.60291273790766,99.77450980392157,4.60291273790766,0.2224624152500737,0.7775375847499263,0.5,0.2775375847499263,2,0,0,0,0,0,-1.9826047421109967,10177.000000000013,890.057273127578,2240.7998866431017,54.21301696622476,-71.32320593733161,100.8811181539936,9.673434990465395,28.118869563724644,7.496823525836138,8.976262255609193,0.7768115942028986,0.8197674418604651,0.042955847657566576,-0.04295584765756655
6,age_[30-40),-0.003192045018764054,-0.003192045018764054,5.060053536246056e-06,0.22219953027672829,0.22916666666666666,0.9988182948879256,-0.010695086201027937,-0.0035237223016439945,0.0026059986794767006,10177,9.227885551191932,2,102,4.624972813284271,0,0,0,0,0,0,102,0,1,0.0,0.010022599980347843,-4.60291273790766,99.77450980392157,4.60291273790766,0.2224624152500737,0.7775375847499263,0.5,0.2775375847499263,2,0,0,0,0,0,-1.9826047421109967,10177.000000000013,890.057273127578,2240.7998866431017,21.552992968621577,-71.32320593733161,100.8811181539936,9.673434990465395,28.118869563724644,4.852706191310762,8.976262255609193,0.7778004697232717,0.7708333333333334,-0.006967136389938372,0.006967136389938289
7,age_[40-50),-0.008437389507747911,-0.00843738950774791,3.522824275517533e-05,0.22134430133131291,0.23347547974413646,0.9949739198978673,-0.009825664866027511,0.0025219871911298375,-0.0012837798877237364,10177,9.227885551191932,2,102,4.624972813284271,0,0,0,0,0,0,102,0,1,0.0,0.010022599980347843,-4.60291273790766,99.77450980392157,4.60291273790766,0.2224624152500737,0.7775375847499263,0.5,0.2775375847499263,2,0,0,0,0,0,-1.9826047421109967,10177.000000000013,890.057273127578,2240.7998866431017,5.954720991887854,-71.32320593733161,100.8811181539936,9.673434990465395,28.118869563724644,2.8202040350623583,8.976262255609193,0.7786556986686871,0.7665245202558635,-0.012131178412823546,0.012131178412823629
8,age_[50-60),-0.010004068796807488,-0.010004068796807488,4.96649412299599e-05,0.2205585264408794,0.23155505107832008,0.9914417507017798,-0.00931846339471365,0.001915732068633269,-0.0008572365342089491,10177,9.227885551191932,2,102,4.624972813284271,0,0,0,0,0,0,102,0,1,0.0,0.010022599980347843,-4.60291273790766,99.77450980392157,4.60291273790766,0.2224624152500737,0.7775375847499263,0.5,0.2775375847499263,2,0,0,0,0,0,-1.9826047421109967,10177.000000000013,890.057273127578,2240.7998866431017,0.9862849318922002,-71.32320593733161,100.8811181539936,9.673434990465395,28.118869563724644,1.7280310021094614,8.976262255609193,0.7794414735591206,0.7684449489216799,-0.010996524637440691,0.010996524637440719
9,age_[60-70),0.03373992030706288,0.033739920307062875,0.0005816192439252188,0.22992562712719022,0.19607843137254902,1.0335481922585754,0.033550706417584175,-4.437790380362738e-05,0.0002629619266473083,10177,9.227885551191932,2,102,4.624972813284271,0,0,0,0,0,0,102,0,1,0.0,0.010022599980347843,-4.60291273790766,99.77450980392157,4.60291273790766,0.2224624152500737,0.7775375847499263,0.5,0.2775375847499263,2,0,0,0,0,0,-1.9826047421109967,10177.000000000013,890.057273127578,2240.7998866431017,-0.18142559686892357,-71.32320593733161,100.8811181539936,9.673434990465395,28.118869563724644,1.348558525166447,8.976262255609193,0.7700743728728098,0.803921568627451,0.03384719575464121,-0.033847195754641235
