,variable,correlation_true,mutual_info,unpriv_prob_pos,priv_prob_pos,unbalance,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy,unpriv_prob_neg,priv_prob_neg,pos_prob,neg_prob
0,0_great_pret,0.1036211843068493,0.03181653238806181,0.0,0.0,0.0,0.0,-0.024149000940942078,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,-1.3522874636875772,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,0.8061028380471807,6.634558048097446,1.0,1.0,0.0,0.0
1,0_pretentious,0.010963209275977784,0.0008440024102433982,0.0,0.0,0.0,0.0,-0.0035471537807986175,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,-1.5418427479338073,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,0.6786302566176073,6.634558048097446,1.0,1.0,0.0,0.0
2,0_usual,-0.11185664152821417,0.025576927907956362,0.0,0.0,0.0,0.0,0.02643026004728133,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,-1.5895850836076362,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,0.6425498938252117,6.634558048097446,1.0,1.0,0.0,0.0
3,1_critical,0.08295786417666101,0.02306186084022427,0.0,0.0,0.0,0.0,-0.012920673076923128,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,0.3144919139007287,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,1.5211866978228907,6.634558048097446,1.0,1.0,0.0,0.0
4,1_improper,0.014639680823738918,0.000289196329382381,0.0,0.0,0.0,0.0,-0.05825593928566164,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,0.20536731534618236,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,1.484942010126223,6.634558048097446,1.0,1.0,0.0,0.0
5,1_less_proper,-0.09266381005386409,0.03145718563341885,0.0,0.0,0.0,0.0,0.034042065009560196,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,0.4292862049382964,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,1.558404988690704,6.634558048097446,1.0,1.0,0.0,0.0
6,1_proper,-0.1085588123200075,0.04301052065763701,0.0,0.0,0.0,0.0,0.019063025343356466,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,-0.0761699144912118,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,1.3870652526654104,6.634558048097446,1.0,1.0,0.0,0.0
7,1_very_crit,0.1073019755008197,0.05859593360025619,0.0,0.0,0.0,0.0,0.018837527761475625,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,0.44899806220502203,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,1.564706856402735,6.634558048097446,1.0,1.0,0.0,0.0
8,2_complete,-0.025529513910694537,0.0010446798593717783,0.0,0.0,0.0,0.0,0.012421030783400622,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,-0.550350778517402,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,1.204367432551304,6.634558048097446,1.0,1.0,0.0,0.0
9,2_completed,-0.010137345414738805,0.0017809023225033166,0.0,0.0,0.0,0.0,0.013710443433485042,0.0,1296,7.16703787691222,4,29,3.3672958299864737,0,0,0,0,0,0,29,0,1,0.0,0.022376543209876542,-3.799742046925746,44.689655172413794,3.7997420469257457,0.02700617283950617,0.3487654320987654,0.24999999999999997,0.129853339812804,2,0,0,0,0,0,-2.0030553290924713,0.44899806220502203,-0.9825303816725931,0.7066649992300176,-0.750252509441744,-0.006180024014033419,1.564706856402735,0.9048505831171584,0.4084914886394556,1.118439838506746,6.634558048097446,1.0,1.0,0.0,0.0
