,variable,correlation_true,correlation_pred,mutual_info,unpriv_prob_pos,priv_prob_pos,unbalance,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy,unpriv_prob_neg,priv_prob_neg,pos_prob,neg_prob
0,black_people,0.4345685672288146,0.5797579709234164,0.14053163148562087,0.4661016949152542,0.10975609756097561,1.4565677966101696,0.5020669698222405,-0.04505994212484493,-0.4453201288817727,200,5.298317366548036,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.505,-0.6831968497067772,1.9801980198019802,0.6831968497067772,0.13,0.32,0.2,0.0677495387438173,2,0,0,0,0,0,-1.882955139219526,84.26540894526502,4.653216907154717,11.481615206892624,-1.882955139219526,-2.1296407397302715,8.418897613346825,1.186133964271341,1.7094054536964958,0.3687490555811989,5.142155386354848,0.5338983050847458,0.8902439024390244,0.3563455973542786,-0.3563455973542786
1,hisp_people,0.2911784499888184,0.32058281469657385,0.0551356647878852,0.4098360655737705,0.1794871794871795,1.2807377049180326,0.3343841950399327,-0.0676754939050021,-0.21890376984126983,200,5.298317366548036,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.505,-0.6831968497067772,1.9801980198019802,0.6831968497067772,0.13,0.32,0.2,0.0677495387438173,2,0,0,0,0,0,-1.882955139219526,84.26540894526502,4.653216907154717,11.481615206892624,-1.8116784697462074,-2.1296407397302715,8.418897613346825,1.186133964271341,1.7094054536964958,0.45446642664930753,5.142155386354848,0.5901639344262295,0.8205128205128205,0.23034888608659101,-0.230348886086591
0,black_people,0.4012325650432753,0.4853302119582284,0.1086045662175731,0.4036697247706422,0.10989010989010989,1.495073054706082,0.42403468091541485,-0.05766710353866322,-0.3360938444271777,200,5.298317366548036,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.505,-0.6831968497067772,1.9801980198019802,0.6831968497067772,0.17,0.27,0.2,0.037815340802378083,2,0,0,0,0,0,-1.986808422797805,44.28393918750024,4.059153770244036,9.085220998346903,-1.986808422797805,-1.8247902275934995,5.841682197762486,1.097594130942436,1.554628018573113,0.182102079723799,5.1580374505861535,0.5963302752293578,0.8901098901098901,0.29377961488053234,-0.2937796148805323
1,hisp_people,0.36056262699929104,0.36147489373818503,0.0919744110196319,0.391304347826087,0.10588235294117647,1.4492753623188406,0.41023017902813297,-0.08388746803069058,-0.30463659147869676,200,5.298317366548036,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.505,-0.6831968497067772,1.9801980198019802,0.6831968497067772,0.17,0.27,0.2,0.037815340802378083,2,0,0,0,0,0,-1.986808422797805,44.28393918750024,4.059153770244036,9.085220998346903,-1.9258890330073166,-1.8247902275934995,5.841682197762486,1.097594130942436,1.554628018573113,0.3057308174162681,5.1580374505861535,0.6086956521739131,0.8941176470588236,0.2854219948849105,-0.2854219948849105
0,black_people,0.43986457634337434,0.5128689367532627,0.13988972143948597,0.3488372093023256,0.07017543859649122,1.8359853121175032,0.38616891064871484,0.01427988576091388,-0.3193171608265948,200,5.298317366548036,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.505,-0.6831968497067772,1.9801980198019802,0.6831968497067772,0.16,0.24,0.2,0.02756809750418044,2,0,0,0,0,0,-1.9383014294445866,70.19364225848521,5.319027008714922,13.77998786075318,-1.9383014294445866,-1.9057467633574736,7.711791932180778,1.1955173251944036,1.8403748912036662,-0.2849264229284823,5.187414308584835,0.6511627906976745,0.9298245614035088,0.27866177070583437,-0.2786617707058343
1,hisp_people,0.14851685650709753,0.19025941602737712,0.018091315599193025,0.226890756302521,0.13580246913580246,1.1941618752764265,0.22502334267040153,0.03216101255316939,-0.18491017838843926,200,5.298317366548036,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.505,-0.6831968497067772,1.9801980198019802,0.6831968497067772,0.16,0.24,0.2,0.02756809750418044,2,0,0,0,0,0,-1.9383014294445866,70.19364225848521,5.319027008714922,13.77998786075318,-1.866682739911897,-1.9057467633574736,7.711791932180778,1.1955173251944036,1.8403748912036662,0.3899814522885466,5.187414308584835,0.773109243697479,0.8641975308641976,0.09108828716671855,-0.09108828716671857
0,black_people,0.47020314742504593,0.5478712661759197,0.16420662556857069,0.4174757281553398,0.07216494845360824,1.6699029126213591,0.44119707736963265,-0.04704233810429381,-0.2008674787744555,200,5.298317366548036,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.505,-0.6831968497067772,1.9801980198019802,0.6831968497067772,0.125,0.25,0.2,0.04207136793592525,2,0,0,0,0,0,-2.0166095956134407,35.1058490020823,3.0791757603370034,6.7959993993268135,-2.0166095956134407,-1.8718403201098206,5.617597831573546,1.056614897476307,1.4289673416426194,0.06048157842244358,5.165845779758616,0.5825242718446602,0.9278350515463918,0.3453107797017315,-0.34531077970173163
1,hisp_people,0.3555255840532712,0.31748232208523824,0.09923781002740004,0.3963963963963964,0.06741573033707865,1.5855855855855854,0.33363700779431116,-0.05972264399230687,-0.15476968934080965,200,5.298317366548036,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.505,-0.6831968497067772,1.9801980198019802,0.6831968497067772,0.125,0.25,0.2,0.04207136793592525,2,0,0,0,0,0,-2.0166095956134407,35.1058490020823,3.0791757603370034,6.7959993993268135,-1.970064514979817,-1.8718403201098206,5.617597831573546,1.056614897476307,1.4289673416426194,0.22301934392579797,5.165845779758616,0.6036036036036037,0.9325842696629214,0.32898066605931775,-0.32898066605931775
0,black_people,0.4513218884141086,0.4880207202484263,0.14395786009615938,0.37142857142857144,0.06382978723404255,1.6425396825396825,0.3955420466058764,0.057953394123606894,-0.4988344988344988,199,5.293304824724492,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.507537688442211,-0.678184307883233,1.9702970297029703,0.6781843078832329,0.1658291457286432,0.22613065326633167,0.2,0.024078690554192848,2,0,0,0,0,0,-2.0078350998492684,43.658450021995435,4.010034722695834,8.981739619655212,-2.0078350998492684,-1.890059824179962,6.212016713807187,1.1562752324371695,1.638096303248963,0.11156475498699525,5.1647111437893685,0.6285714285714286,0.9361702127659575,0.3075987841945289,-0.3075987841945289
1,hisp_people,0.33274273079776195,0.30247493744718285,0.10273857909187646,0.38095238095238093,0.05319148936170213,1.6846560846560847,0.2947315096251266,0.03779128672745691,-0.026717804667242842,199,5.293304824724492,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.507537688442211,-0.678184307883233,1.9702970297029703,0.6781843078832329,0.1658291457286432,0.22613065326633167,0.2,0.024078690554192848,2,0,0,0,0,0,-2.0078350998492684,43.658450021995435,4.010034722695834,8.981739619655212,-2.0078350998492684,-1.890059824179962,6.212016713807187,1.1562752324371695,1.638096303248963,0.11156475498699531,5.1647111437893685,0.6190476190476191,0.9468085106382979,0.3277608915906788,-0.3277608915906788
0,black_people,0.4957031957730302,0.5616597503315103,0.18059295976892098,0.3942307692307692,0.021052631578947368,1.824463327370304,0.44919028340080974,0.0016194331983805377,-0.5084547850086796,199,5.293304824724492,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.507537688442211,-0.678184307883233,1.9702970297029703,0.6781843078832329,0.11055276381909548,0.24623115577889448,0.2,0.046644427681898665,2,0,0,0,0,0,-2.0153258607666613,102.15815258101507,4.417546973571458,12.89426762751454,-2.0120000033552947,-1.8198105177170982,9.033618511759615,1.0774797363339705,1.6737483496242402,0.09123404792490115,5.176228671083037,0.6057692307692308,0.9789473684210527,0.37317813765182184,-0.37317813765182184
1,hisp_people,0.2512509672492612,0.27384189433975553,0.07722841364156444,0.34375,0.0970873786407767,1.5908430232558142,0.3910800970873787,-0.012439320388349495,-0.271389005259973,199,5.293304824724492,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.507537688442211,-0.678184307883233,1.9702970297029703,0.6781843078832329,0.11055276381909548,0.24623115577889448,0.2,0.046644427681898665,2,0,0,0,0,0,-2.0153258607666613,102.15815258101507,4.417546973571458,12.89426762751454,-2.0153258607666613,-1.8198105177170982,9.033618511759615,1.0774797363339705,1.6737483496242402,-0.07093110381743598,5.176228671083037,0.65625,0.9029126213592233,0.2466626213592233,-0.24666262135922334
0,black_people,0.43170656633070575,0.4935339160883275,0.1301828706841656,0.35,0.09090909090909091,1.5829545454545457,0.4593939393939394,0.10535353535353537,-0.4078754578754579,199,5.293304824724492,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.507537688442211,-0.678184307883233,1.9702970297029703,0.6781843078832329,0.17587939698492464,0.22110552763819097,0.2,0.01569899432343046,2,0,0,0,0,0,-2.0203045685279193,63.086464373584505,4.063963550142263,9.156458568330768,-2.0203045685279193,-2.3081557587081107,7.263903237715407,1.111784263602694,1.592907904163643,0.0101268717478476,5.167331180666938,0.65,0.9090909090909091,0.25909090909090904,-0.25909090909090904
1,hisp_people,0.13684295387007328,0.22735954465334374,0.013905355995435187,0.27049180327868855,0.14285714285714285,1.2233606557377048,0.327123695976155,-0.15137321694698747,-0.39632277834525026,199,5.293304824724492,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.507537688442211,-0.678184307883233,1.9702970297029703,0.6781843078832329,0.17587939698492464,0.22110552763819097,0.2,0.01569899432343046,2,0,0,0,0,0,-2.0203045685279193,63.086464373584505,4.063963550142263,9.156458568330768,-1.7993292301406822,-2.3081557587081107,7.263903237715407,1.111784263602694,1.592907904163643,0.4678214632875538,5.167331180666938,0.7295081967213115,0.8571428571428572,0.1276346604215457,-0.1276346604215457
0,MedNumBR,-0.38086709069026414,-0.4160392673259531,0.10554422937738953,0.0,0.271356783919598,0.0,-0.2814070351758794,,0.3964878671775224,199,5.293304824724492,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.507537688442211,-0.678184307883233,1.9702970297029703,0.6781843078832329,0.1658291457286432,0.271356783919598,0.2,0.03805848488193264,2,0,0,0,0,0,-2.0203045685279193,51.3741708539181,4.691759239359537,10.534511735184727,-1.653755974935911,-1.9815110192789125,6.616430283648544,1.1450668593994753,1.7080057554100825,-0.6024674718687244,5.1527018945694785,1.0,0.728643216080402,-0.271356783919598,0.27135678391959805
1,black_people,0.4553197202542601,0.49293937474722704,0.14530041453431924,0.44,0.10101010101010101,1.6214814814814817,0.3388888888888889,-0.03494949494949495,-0.14431270976214794,199,5.293304824724492,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.507537688442211,-0.678184307883233,1.9702970297029703,0.6781843078832329,0.1658291457286432,0.271356783919598,0.2,0.03805848488193264,2,0,0,0,0,0,-2.0203045685279193,51.3741708539181,4.691759239359537,10.534511735184727,-2.0203045685279193,-1.9815110192789125,6.616430283648544,1.1450668593994753,1.7080057554100825,0.0101268717478476,5.1527018945694785,0.56,0.898989898989899,0.338989898989899,-0.33898989898989895
2,hisp_people,0.25725048164270903,0.325329473688384,0.054541335489384654,0.3700787401574803,0.09722222222222222,1.3638086905803442,0.3103674540682415,0.05161854768153984,-0.14743833294365208,199,5.293304824724492,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.507537688442211,-0.678184307883233,1.9702970297029703,0.6781843078832329,0.1658291457286432,0.271356783919598,0.2,0.03805848488193264,2,0,0,0,0,0,-2.0203045685279193,51.3741708539181,4.691759239359537,10.534511735184727,-1.681125201989346,-1.9815110192789125,6.616430283648544,1.1450668593994753,1.7080057554100825,0.5795454332300938,5.1527018945694785,0.6299212598425197,0.9027777777777778,0.2728565179352581,-0.2728565179352581
0,black_people,0.40636928745615525,0.4997292198688776,0.13877838674337706,0.3939393939393939,0.03,1.8665223665223665,0.3645454545454545,-0.004545454545454519,-0.29722442505947666,199,5.293304824724492,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.507537688442211,-0.678184307883233,1.9702970297029703,0.6781843078832329,0.15577889447236182,0.22613065326633167,0.2,0.024903541092188675,2,0,0,0,0,0,-2.020304568527919,64.25446876950248,3.9507186025393026,10.221784511791032,-2.020304568527919,-1.7898244930789482,7.513480708100259,1.0527223129120977,1.5804650077723603,-0.010126871747847419,5.171568468598103,0.6060606060606061,0.97,0.3639393939393939,-0.3639393939393939
1,hisp_people,0.3085812887113976,0.3187377153400885,0.10349092007057814,0.35135135135135137,0.03409090909090909,1.6647361647361647,0.3846232596232596,0.004095004095004073,-0.1538273001508296,199,5.293304824724492,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.507537688442211,-0.678184307883233,1.9702970297029703,0.6781843078832329,0.15577889447236182,0.22613065326633167,0.2,0.024903541092188675,2,0,0,0,0,0,-2.020304568527919,64.25446876950248,3.9507186025393026,10.221784511791032,-1.9648659848079721,-1.7898244930789482,7.513480708100259,1.0527223129120977,1.5804650077723603,0.23448653964106167,5.171568468598103,0.6486486486486487,0.9659090909090909,0.31726044226044225,-0.31726044226044225
0,black_people,0.4774937484958336,0.47848716306405364,0.17872485205759123,0.31,0.09090909090909091,1.5422500000000001,0.4295959595959596,-0.014848484848484889,-0.40818918497740375,199,5.293304824724492,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.507537688442211,-0.678184307883233,1.9702970297029703,0.6781843078832329,0.1658291457286432,0.25125628140703515,0.2,0.03231745766997693,2,0,0,0,0,0,-2.0203045685279193,61.35967721667764,4.512058298878884,11.402389914911865,-2.0203045685279193,-1.9343031977398397,7.3314636974791325,1.1060006118344359,1.8050113123865732,0.010126871747847615,5.180237497005448,0.69,0.9090909090909091,0.2190909090909091,-0.21909090909090911
1,hisp_people,0.1861476033458646,0.27178628838680136,0.03975966965057959,0.28703703703703703,0.0989010989010989,1.4280092592592593,0.28998778998779,-0.031542531542531616,-0.27054091550551035,199,5.293304824724492,5,101,4.61512051684126,0,0,0,0,0,0,101,0,1,0.0,0.507537688442211,-0.678184307883233,1.9702970297029703,0.6781843078832329,0.1658291457286432,0.25125628140703515,0.2,0.03231745766997693,2,0,0,0,0,0,-2.0203045685279193,61.35967721667764,4.512058298878884,11.402389914911865,-1.9902499517127088,-1.9343031977398397,7.3314636974791325,1.1060006118344359,1.8050113123865732,0.172786280020689,5.180237497005448,0.712962962962963,0.9010989010989011,0.18813593813593815,-0.1881359381359381
