,variable,correlation_true,correlation_pred,mutual_info,unpriv_prob,priv_prob,unbalance,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy
0,wife_religion,0.07963053627965254,-0.011292488586917556,0.007656841402312514,0.30434782608695654,0.224,1.2869565217391306,0.37078260869565216,-0.09669565217391307,-0.9230486008836524,148,4.997212273764115,3,11,2.3978952727983707,0,0,0,0,0,0,11,0,1,0.0,0.07432432432432433,-2.5993170009657445,13.454545454545455,2.5993170009657445,0.23648648648648649,0.46621621621621623,0.3333333333333333,0.0971867072540154,2,0,0,0,0,0,-1.8714792734214918,20.43299380601036,1.6030500361897595,6.067307168922623,1.7164948265593258,-1.9218430456707027,4.707125530140846,0.0360212077560619,1.7062330487805868,-1.9218430456707027,4.887959688985284
1,wife_work,0.0397657163362274,0.16593075834792614,0.0009073782454327717,0.23529411764705882,0.23684210526315788,0.9949579831932773,0.07120743034055729,-0.07946336429308565,-0.17365409175754004,148,4.997212273764115,3,11,2.3978952727983707,0,0,0,0,0,0,11,0,1,0.0,0.07432432432432433,-2.5993170009657445,13.454545454545455,2.5993170009657445,0.23648648648648649,0.46621621621621623,0.3333333333333333,0.0971867072540154,2,0,0,0,0,0,-1.8714792734214918,20.43299380601036,1.6030500361897595,6.067307168922623,-0.31922795123071257,-1.9218430456707027,4.707125530140846,0.0360212077560619,1.7062330487805868,-1.298179575728595,4.887959688985284
2,media,-0.04425214299008315,-0.20066473185056646,0.01148981844219274,0.24647887323943662,0.0,1.0422535211267605,0.1267605633802817,0.14553990610328638,-0.3604806408544726,148,4.997212273764115,3,11,2.3978952727983707,0,0,0,0,0,0,11,0,1,0.0,0.07432432432432433,-2.5993170009657445,13.454545454545455,2.5993170009657445,0.23648648648648649,0.46621621621621623,0.3333333333333333,0.0971867072540154,2,0,0,0,0,0,-1.8714792734214918,20.43299380601036,1.6030500361897595,6.067307168922623,20.43299380601036,-1.9218430456707027,4.707125530140846,0.0360212077560619,1.7062330487805868,4.707125530140846,4.887959688985284
0,wife_religion,-0.056970282924677124,-0.03406307508743633,0.013876744603127794,0.4,0.21138211382113822,1.6444444444444444,0.33495934959349594,-0.08715447154471545,-0.6434311393074279,148,4.997212273764115,3,11,2.3978952727983707,0,0,0,0,0,0,11,0,1,0.0,0.07432432432432433,-2.5993170009657445,13.454545454545455,2.5993170009657445,0.24324324324324326,0.41216216216216217,0.3333333333333333,0.06941907661001098,2,0,0,0,0,0,-1.8811248276912962,10.25595531001623,0.485223445460563,3.2263767575244446,1.2038067675150046,-1.7854191348596335,3.4810246266923617,-0.04398488111522842,1.342513838943437,-1.7854191348596335,4.8937740584893055
1,wife_work,0.20487386075563008,0.2811896478012926,0.02452816536870253,0.23529411764705882,0.24561403508771928,0.9673202614379084,-0.005159958720330232,-0.06501547987616096,0.052645029389215454,148,4.997212273764115,3,11,2.3978952727983707,0,0,0,0,0,0,11,0,1,0.0,0.07432432432432433,-2.5993170009657445,13.454545454545455,2.5993170009657445,0.24324324324324326,0.41216216216216217,0.3333333333333333,0.06941907661001098,2,0,0,0,0,0,-1.8811248276912962,10.25595531001623,0.485223445460563,3.2263767575244446,-0.31922795123071257,-1.7854191348596335,3.4810246266923617,-0.04398488111522842,1.342513838943437,-1.298179575728595,4.8937740584893055
2,media,-0.10128549425614804,-0.10368836632231337,0.023338777022856486,0.2608695652173913,0.0,1.072463768115942,0.13043478260869565,0.24927536231884062,-0.3741830065359477,148,4.997212273764115,3,11,2.3978952727983707,0,0,0,0,0,0,11,0,1,0.0,0.07432432432432433,-2.5993170009657445,13.454545454545455,2.5993170009657445,0.24324324324324326,0.41216216216216217,0.3333333333333333,0.06941907661001098,2,0,0,0,0,0,-1.8811248276912962,10.25595531001623,0.485223445460563,3.2263767575244446,10.25595531001623,-1.7854191348596335,3.4810246266923617,-0.04398488111522842,1.342513838943437,3.4810246266923617,4.8937740584893055
0,wife_religion,0.08515150311406448,-0.0744053479302013,0.018048519636526414,0.3684210526315789,0.17829457364341086,1.8175438596491231,0.31252549979600164,0.05344757241942072,-0.6279444509551155,148,4.997212273764115,3,11,2.3978952727983707,0,0,0,0,0,0,11,0,1,0.0,0.07432432432432433,-2.5993170009657445,13.454545454545455,2.5993170009657445,0.20270270270270271,0.44594594594594594,0.3333333333333333,0.10011761608510301,2,0,0,0,0,0,-1.7944672747152992,6.74697253410527,0.3337716804459351,2.44059178392214,3.080107008081108,-2.2446968588051264,2.9421034518564952,-0.11704281406976164,1.2993694942525222,-2.2446968588051264,4.886685979215342
1,wife_work,0.01873595911643814,0.08746809663569491,0.0034605485447518902,0.2564102564102564,0.1834862385321101,1.2649572649572651,0.11150317572335922,0.07974594213126318,-0.36356063541263073,148,4.997212273764115,3,11,2.3978952727983707,0,0,0,0,0,0,11,0,1,0.0,0.07432432432432433,-2.5993170009657445,13.454545454545455,2.5993170009657445,0.20270270270270271,0.44594594594594594,0.3333333333333333,0.10011761608510301,2,0,0,0,0,0,-1.7944672747152992,6.74697253410527,0.3337716804459351,2.44059178392214,-0.8350056620648978,-2.2446968588051264,2.9421034518564952,-0.11704281406976164,1.2993694942525222,-1.0846488417312143,4.886685979215342
2,media,-0.2264164266398312,-0.2427570075137426,0.03356778052820499,0.21481481481481482,0.07692307692307693,1.0597530864197529,0.16296296296296298,0.272934472934473,-0.48308392973324654,148,4.997212273764115,3,11,2.3978952727983707,0,0,0,0,0,0,11,0,1,0.0,0.07432432432432433,-2.5993170009657445,13.454545454545455,2.5993170009657445,0.20270270270270271,0.44594594594594594,0.3333333333333333,0.10011761608510301,2,0,0,0,0,0,-1.7944672747152992,6.74697253410527,0.3337716804459351,2.44059178392214,6.74697253410527,-2.2446968588051264,2.9421034518564952,-0.11704281406976164,1.2993694942525222,2.9421034518564952,4.886685979215342
0,wife_religion,0.07187976646228153,-0.019483559713802154,0.00805066685334875,0.375,0.25203252032520324,1.378125,0.31910569105691056,-0.0030487804878048808,-0.6301231104877669,147,4.990432586778736,3,11,2.3978952727983707,0,0,0,0,0,0,11,0,1,0.0,0.07482993197278912,-2.592537313980366,13.363636363636363,2.592537313980366,0.272108843537415,0.3741496598639456,0.3333333333333333,0.044086671417740544,2,0,0,0,0,0,-1.7989254643902697,10.155690913667257,0.6254546994983547,3.2424745650529876,1.408103214652836,-1.840958977171337,3.4666542608452,-0.1054672006745499,1.3914742163414786,-1.840958977171337,4.896685667169589
1,wife_work,-0.004781004966099342,0.26298179364516827,0.007186261335786176,0.18421052631578946,0.30275229357798167,0.6769736842105262,-0.059874456784162255,-0.2015934331240946,0.04091791061230789,147,4.990432586778736,3,11,2.3978952727983707,0,0,0,0,0,0,11,0,1,0.0,0.07482993197278912,-2.592537313980366,13.363636363636363,2.592537313980366,0.272108843537415,0.3741496598639456,0.3333333333333333,0.044086671417740544,2,0,0,0,0,0,-1.7989254643902697,10.155690913667257,0.6254546994983547,3.2424745650529876,-0.7682995054862709,-1.840958977171337,3.4666542608452,-0.1054672006745499,1.3914742163414786,-1.1146034794892716,4.896685667169589
