variable,data,correlation_true,mutual_info,unpriv_prob_pos,priv_prob_pos,unpriv_unbalance,priv_unbalance,statistical_parity,equal_opportunity,average_odds,kurtosis_var,skew_var,gini,simpson,shannon,ir,pos_prob
race,adult,0.0845306038418412,0.0040360974592466,0.1292517006802721,0.2525,0.5367849153084052,1.0486375838926174,-0.1670578231292517,-0.05578231292517,-0.2215185046140986,5.639858197196586,-2.763369852206404,0.06107106364783212,4.036592349632945e-06,0.9921656257792068,0.10491203931203931,0.1232482993197278
sex,adult,0.2300646010734255,0.029481677713473,0.1017441860465116,0.3103782735208535,0.4225456531918214,1.2890072191590884,-0.1572070090752562,-0.1271400536846141,-0.0583242899132124,-1.501940492199525,-0.7064211201277086,0.0746434772587137,6.018049848320259e-06,0.992493078358741,0.5004358736657476,0.2086340874743419
 10th,adult,-0.0796271589278562,0.0042254090887703,0.2469135802469135,0.0515463917525773,1.0254370701797997,0.2140732027952674,0.1911911911911911,0.118290111417259,0.3095037660611431,26.97478389355473,5.381203162193258,0.11078140780801222,3.5584181913317296e-06,0.9919884311382188,0.0322705998381674,0.1953671884943362
 11th,adult,-0.0912517944866108,0.0056771158532374,0.2484889187374076,0.043103448275862,1.031979482649046,0.1790094885443184,0.1924110141034251,0.1278166323151386,0.309825374972828,21.748434966906025,4.871794014905299,0.11043198252534725,3.602285479823415e-06,0.9920092178523209,0.038857865130531334,0.2053854704615456
 12th,adult,-0.051402663028293,0.0017122127587699,0.2435182146373482,0.0638297872340425,1.0113360484402083,0.2650863915464801,0.1448442486156596,0.0606665782178493,0.284821651152024,60.94559627217747,7.931342931187308,0.11170094802555162,3.4453616795636844e-06,0.9919268002476762,0.01532824407783374,0.1796884274033056
 1st-4th,adult,-0.028673694950313,0.0007133442654401,0.2414128321451717,0.0,1.002592352559948,0.0,0.1856772521062864,0.1665586519766688,0.306321511199539,382.37217672528783,19.599107300357176,0.11241818939523235,3.359592296810927e-06,0.991865205892276,0.00249432723833237,0.2414128321451717
 5th-6th,adult,-0.0270004546527512,0.0004261781426234,0.241851368970013,0.1153846153846153,1.0044136048231145,0.4791946308724832,0.1867666232073011,0.051173402868318,0.3076478713615915,114.19487215945333,10.775948013022354,0.11208715491691816,3.398914445924221e-06,0.9918962014903093,0.008377129055095116,0.1264667535853976
 7th-8th,adult,-0.0500986880387516,0.0015040554907069,0.244047619047619,0.1,1.0135346756152126,0.4153020134228188,0.1894841269841269,0.0676587301587301,0.3097592983803853,39.28854955135968,6.423640195246879,0.1112779595254835,3.4969370315802583e-06,0.9919566423824004,0.023052143052143002,0.144047619047619
 9th,adult,-0.0544308164154721,0.0018504072416333,0.2441438469152095,0.0793650793650793,1.0139343118867896,0.3296047725577926,0.1890465193005608,0.0885662964184903,0.3089415692427477,44.20523966306676,6.795341438038589,0.11140669515593901,3.481162343349545e-06,0.9919478742494324,0.020688982074663364,0.1647787675501301
 Assoc-acdm,adult,0.0070831340457777,2.467715743939558e-05,0.2402920677066047,0.2592592592592592,0.9979377952808524,1.0767089236887897,0.0380450148123563,-0.0195695197354673,0.0688203731997132,33.28011034060008,5.937895088136934,0.11107566067762482,3.5218631514283394e-06,0.9919699536825429,0.026787866827694188,0.0189671915526545
