,variable,importance,correlation,unbalance,statistical_parity,equalized_odds,average_odds
0,school_MS,0.004511278195488755,-0.015081056056463288,0.9841437632135307,-0.014844136566056376,0.05142165759225653,0.03488372093023251
1,sex_M,0.0,-0.03694410757532406,0.9565592635212887,-0.03539615564932019,0.10185185185185185,0.006797937177684066
2,address,0.0,-0.03167113840458321,0.9300699300699301,-0.0327332242225859,-0.09453781512605043,0.004364429896344779
3,famsize,0.007518796992481214,0.09951626011402123,1.096153846153846,0.10073260073260071,-0.027014567582518925,-0.03663003663003672
4,Pstatus,0.006015037593985006,-0.10438137558793174,0.6363636363636364,-0.14035087719298245,0.1880576044959606,0.03508771929824561
5,schoolsup,0.0,-0.09143759578330828,0.9571969696969698,-0.1448717948717949,-0.12873647533467825,-0.06025641025641015
6,famsup,0.0060150375939849845,-0.18549698949449844,0.6431334622823985,-0.1825828797624938,0.18627450980392152,0.030925284512617446
7,paid,0.0,-0.03799711749808083,0.9632867132867132,-0.03846153846153849,0.05027322404371583,0.03296703296703296
8,activities,0.0,-0.005530851041639761,0.9918323863636364,-0.005208333333333315,0.022222222222222223,-0.01336050724637683
9,nursery,0.0,0.01714330749199584,1.0579545454545456,0.022566371681415898,0.11055555555555555,0.03230088495575223
10,higher,0.0015037593984962515,0.2152865871501092,1.75,0.2894736842105263,-0.16993464052287582,0.03508771929824561
11,internet,0.0,-0.08235553464525716,0.8001336898395722,-0.08882947118241236,0.08782201405152222,0.009209744503862138
12,romantic,0.0,-0.12284061704334667,0.8463636363636363,-0.11655172413793102,0.029411764705882353,-0.021149425287356305
13,course,0.004511278195488755,0.14451232547646897,1.1920614596670933,0.13630168105406631,-0.004207717569786579,-0.0181735574738755
14,Mjob_at_home,0.009022556390977465,-0.15581121180474442,0.880406001765225,-0.1754045307443366,0.1213235294117647,-0.013915857605177995
15,Mjob_health,0.0015037593984962515,0.022599230735278433,1.0075757575757578,0.047619047619047616,0.03446343513589238,0.023809523809523836
16,Mjob_other,0.006015037593985006,0.08270383169278513,1.0957386363636366,0.0794811320754717,-0.04762508451656529,0.00613207547169814
17,Mjob_services,0.003007518796992503,0.03703953525928708,1.0265866209262435,0.04332634521313766,-0.1115079365079365,-0.018169112508735208
18,Mjob_teacher,0.010526315789473717,0.01440423981392132,1.0075757575757576,0.020833333333333315,0.03701298701298705,0.02564102564102566
19,Fjob_at_home,0.0015037593984962515,-0.12052923058815164,0.9595959595959597,-0.25396825396825395,0.03701578192252515,0.023809523809523836
20,Fjob_health,0.009022556390977488,-0.0489649999264366,0.9835858585858587,-0.10317460317460314,0.03571428571428577,0.023809523809523836
21,Fjob_other,0.006015037593985006,0.02610560665580014,1.0442148760330578,0.02494172494172492,0.11484593837535013,0.0235431235431236
22,Fjob_services,0.0,0.021009819610463235,1.0178571428571428,0.022448979591836726,-0.1969696969696969,-0.04693877551020409
23,Fjob_teacher,0.0,0.07583548496724056,1.02344309234073,0.17191601049868768,0.03340635268346108,0.023622047244094446
24,reason_course,0.007518796992481214,-0.18636563292481803,0.744729907773386,-0.1754981884057971,0.13229018492176386,0.01336050724637683
25,reason_home,0.01654135338345868,-0.02888225306394414,0.9787878787878788,-0.033333333333333326,-0.0755818332454621,-0.016666666666666607
26,reason_other,0.0015037593984962515,0.13702796379302654,1.066844919786096,0.2100840336134454,0.03335373317013461,0.025210084033613467
27,reason_reputation,0.004511278195488755,0.15622320113392857,1.1121355060034306,0.1827393431167016,-0.15595101415996931,-0.018169112508735208
28,guardian_father,0.003007518796992503,0.1617069317225124,1.1454545454545455,0.16842105263157897,-0.10028248587570625,-0.0052631578947368585
29,guardian_mother,0.01654135338345868,-0.060676415090598464,0.8956228956228958,-0.058134083450539165,0.0017014519056261779,0.024378809188935868
30,guardian_other,0.003007518796992503,-0.13296221366696603,0.9300699300699301,-0.1923076923076923,0.16374269005847958,-0.045405982905982856
