,model,ap,ap,accuracy,accuracy,precision,precision,recall,recall,f1,f1
,,mean,std,mean,std,mean,std,mean,std,mean,std
0,MLP,0.848,0.082,0.813,0.111,0.666,0.214,0.792,0.159,0.711,0.179
1,Random Forest,0.904,0.071,0.772,0.213,0.774,0.153,0.663,0.338,0.661,0.232
2,XGBoost,0.877,0.076,0.782,0.154,0.696,0.18,0.771,0.254,0.694,0.141
