,model,ap,ap,accuracy,accuracy,precision,precision,recall,recall,f1,f1
,,mean,std,mean,std,mean,std,mean,std,mean,std
0,MLP,0.791,0.078,0.738,0.075,0.555,0.27,0.683,0.271,0.605,0.255
1,Random Forest,0.803,0.116,0.791,0.089,0.679,0.214,0.716,0.198,0.688,0.179
2,XGBoost,0.804,0.104,0.779,0.094,0.658,0.205,0.705,0.225,0.671,0.187
