,Stat Parity Symp,Stat Parity Meta,Stat Parity Both,Equal Opportunity Symp,Equal Opportunity Meta,Equal Opportunity Both,Average Odds Symp,Average Odds Meta,Average Odds Both
0,0.4854432921104581,0.07474063480970339,0.5480433064404397,0.03284272448943981,0.03162251282539397,0.07487796897954269,0.20813535499108726,0.12394243573581987,0.3683644542280662
1,0.5438987338719181,0.07649168466690237,0.586965619805589,0.06403366582115366,0.05564711218535412,0.08584196405414102,0.233124368864166,0.12360481643126664,0.4005162124629612
2,0.41165086503091275,0.054060750576987004,0.5924689676742146,-0.05477423770744094,0.06589164609127485,0.09463463367020164,0.3179093227362133,0.11279027027385446,0.38620482980189175
3,0.35456975894931564,0.07979404889466435,0.6239386326222564,0.04704842315961211,0.02850041238125034,0.06582932349818849,0.1536295743593722,0.14104129671322807,0.4152157337212474
4,0.6027106889792639,0.08844446063391942,0.5835138660067802,0.07078643642910598,0.04213010714705201,0.12467928267666595,0.2740817562545308,0.1320817062573283,0.4107393107894557
5,0.6458313364325508,0.06811385918538793,0.5567361017185111,0.009008528596061272,0.0116693080665069,0.0861686896940046,0.3693005890755928,0.13088773255177244,0.3823993488512777
6,0.584353603744949,0.07474580486584681,0.600073566687521,0.0816176861411978,0.026419649187980676,0.11143662124760012,0.3385560260036292,0.10394642291657963,0.3844376853137713
7,0.516584907132964,0.0846148507219524,0.5605231599969251,0.05932798692884045,0.03185453204069666,0.10872525714226133,0.33061862583517065,0.13204891433860155,0.3801837699566848
8,0.6126322972221596,0.06321634037244905,0.6011400095210904,-0.04539449628942882,0.038939823361718306,0.048285432556902874,0.3114631329233325,0.11570255257151685,0.3933406561296443
9,0.5574370952633996,0.07937436527503694,0.6072243371989878,0.02646430773892161,0.038694172049735465,0.09355274686948523,0.25895848673636457,0.1311672527640606,0.39598782711084124
