,Statistical Parity,Equal Opportunity,Average Odds
0,0.16463684918260887,0.15281677848111327,0.33960074699577464
1,0.13305487059785298,0.0772981469193199,0.3285297939154715
2,0.14262162436418363,0.13374307640080363,0.28655478293364434
3,0.1698084994480901,0.11849991188632909,0.3862917984132522
4,0.19004747298005475,0.16972467378260592,0.3850674322353092
5,0.1626675874795848,0.1619019229403851,0.2691343705390396
6,0.2445395368034085,0.2581026921306396,0.39470848684811494
7,0.13783816909903276,0.1396576400668864,0.2979434996399388
8,0.13092986005066015,0.1519639448233586,0.2954197268074805
9,0.09938054126172295,0.12508080964345805,0.2176795003120011
