,Statistical Parity,Equal Opportunity,Average Odds
0,-0.012098754332041217,-0.0028222367741754795,-0.005196350423487095
1,-0.001500771558496039,0.0022337839853721064,0.0037846484027720395
2,-0.867122617538161,-0.5761497033154257,-0.23526962523413175
3,-5.1173359401746055e-05,-0.00031182215623304366,-0.005305179386315695
4,-0.02918465212658483,-0.0013130839701307462,-0.007458389634637408
5,-0.009822936074789679,-0.007244531597952353,-0.00014603214472641568
6,-0.00011455678059224539,-0.004803384208631911,-0.00011953218592464232
7,-1.7109486050159717e-08,-0.05476049399778038,-0.004006658713639588
8,-0.05074359497419323,-0.0022017916743948263,-0.00108514208600341
9,-0.02708598597234735,-0.00020631802257953247,-0.012315986890631958
