,Statistical Parity,Equal Opportunity,Average Odds
0,-0.00016835739632226066,-0.10770251101423223,-0.00311644350876894
1,-0.04516613342347853,-0.0019677258119243923,-0.005724589071116393
2,-0.011987378052641162,-0.007972318945832724,-0.0010816126098134315
3,-0.023169087655485532,-0.05708098420821828,-0.03501456644291978
4,-0.0011054056272736812,-0.06924879635539694,0.001116859204066345
5,-0.13168084410568914,-0.1602479481967063,-0.13181761000717906
6,-0.008908986431877208,-0.03948046664343785,-0.00040087988671944075
7,-0.013673550426011927,-0.03755014801630052,-0.006618397581391822
8,-0.002888951205582746,-0.02041065332290315,-0.0010583031561404166
9,-0.001870580706775149,-0.014292232434893526,-0.001952640614503398
