,model,accuracy,accuracy,precision,precision,recall,recall,f1,f1
,,mean,std,mean,std,mean,std,mean,std
0,MLP,0.747,0.257,0.561,0.383,0.665,0.372,0.549,0.356
1,Random Forest,0.779,0.208,0.626,0.382,0.675,0.345,0.585,0.34
2,XGBoost,0.769,0.207,0.595,0.378,0.635,0.374,0.561,0.347
