,variable,correlation_true,mutual_info,unpriv_prob_pos,priv_prob_pos,unpriv_unbalance,priv_unbalance,statistical_parity,equal_opportunity,average_odds,kurtosis_var,skew_var,gini,simpson,shannon,ir,pos_prob
0,age,0.053665199599771334,0.0014139073840922778,0.6666666666666666,0.7236842105263158,0.9389671361502347,1.0192735359525575,-0.1228070175438597,0.052631578947368474,-0.09889069264069261,-0.4818978595236256,-1.2361820930458383,0.24,-0.9998425692695214,-584.8815910390202,0.3157894736842105,-0.05701754385964919
1,people_liable_for,0.08332023818869401,0.003689942835143678,0.0,0.71,0.0,1.0,-0.76,,-0.6677999028654686,2.001212856276531,1.9903729886263888,0.11086956521739126,-0.9998657718120806,-603.4015885058325,0.17647058823529413,-0.71
2,sex,-0.01322818964505741,8.777574756541062e-05,0.71875,0.7058823529411765,1.012323943661972,0.9942004971002485,0.07720588235294112,0.10477941176470584,0.1451992753623188,-1.4147604918255947,-0.7835461424924532,0.32,-0.9998229461756374,-573.9474732050231,0.47058823529411764,0.012867647058823484
3,status=A11,-0.45920715482127866,0.10205323210496622,0.8529411764705882,0.40625,1.2013256006628001,0.5721830985915494,0.4283088235294118,-0.3345588235294118,0.2530015356694123,-1.4147604918255952,0.7835461424924529,0.68,-0.9998229461756374,-573.9474732050231,0.47058823529411764,0.4466911764705882
4,status=A12,-0.032984117920807215,0.0005369851856861785,0.717948717948718,0.6818181818181818,1.0111953773925606,0.9603072983354672,0.10023310023310028,0.036130536130536184,0.12023809523809526,-0.11895321173671691,1.3725270326150325,0.78,-0.9998477466504263,-588.3688686812759,0.28205128205128205,0.036130536130536184
5,status=A13,0.06611394640818899,0.002333568389456961,0.7,0.8,0.9859154929577465,1.1267605633802817,-0.2666666666666667,0.011111111111111183,-0.35978835978835977,5.438670313486217,2.7074488084533876,0.9,-0.9998780487804878,-617.4860596185443,0.1111111111111111,-0.10000000000000009
6,status=A14,0.43341364867590565,0.1178555936128422,0.5625,0.9722222222222222,0.7922535211267606,1.3693270735524257,-0.375,0.2847222222222222,-0.3968253968253968,-1.6833118556701032,0.5922544268491788,0.64,-0.9998145400593472,-570.1173000519233,0.5625,-0.4097222222222222
7,credit_history=A30,-0.1459835013097143,0.009409231651275794,0.7216494845360825,0.3333333333333333,1.0164077246987078,0.4694835680751174,0.4398625429553265,0.21649484536082475,0.18359788359788357,29.89777481829163,5.59464946359213,0.97,-0.9998938203440221,-644.9464331943149,0.030927835051546393,0.38831615120274915
8,credit_history=A31,-0.1567316551879079,0.010956640279398494,0.7263157894736842,0.4,1.022979985174203,0.5633802816901409,0.16842105263157892,-0.41052631578947363,0.0774804905239688,15.895777735945163,4.192636648331105,0.95,-0.9998895027624309,-635.7459232658769,0.05263157894736842,0.3263157894736842
9,credit_history=A32,0.05505200746666407,0.00151061501584282,0.6818181818181818,0.7321428571428571,0.9603072983354672,1.0311871227364184,0.10389610389610393,0.030844155844155896,0.1588850174216028,-1.979764659914039,-0.24544399767467573,0.44,-0.9998028391167192,-565.4268668552669,0.7857142857142857,-0.05032467532467533
10,credit_history=A33,-0.08378245205433568,0.003279741508652123,0.7204301075268817,0.5714285714285714,1.0146902922913827,0.8048289738430584,0.20276497695852536,-0.08141321044546845,0.1368637581324149,9.908949089636328,3.4221534427375957,0.93,-0.9998850310416187,-627.7932538874502,0.07526881720430108,0.14900153609831035
11,credit_history=A34,0.11704711024769307,0.007142571914148993,0.676056338028169,0.7931034482758621,0.9521920253917874,1.1170471102476933,-0.2894609033511414,0.052938319572608084,-0.32608695652173914,-1.1400790094280577,0.9397506584812629,0.71,-0.999829989799388,-577.513494343532,0.4084507042253521,-0.1170471102476931
12,purpose=A40,-0.0020640461384527436,2.128498528874978e-06,0.7105263157894737,0.7083333333333334,1.0007412898443293,0.9976525821596245,0.013157894736842146,0.002192982456140302,0.01625498684322213,-0.4818978595236256,1.2361820930458383,0.76,-0.9998425692695214,-584.8815910390202,0.3157894736842105,0.002192982456140302
13,purpose=A41,0.2360038628994388,0.04435816845231111,0.6704545454545454,1.0,0.9443021766965428,1.408450704225352,-0.2727272727272727,0.23863636363636365,0.15634132086499125,3.7121291815695403,2.3745053629020614,0.88,-0.9998732251521298,-611.4495324487361,0.13636363636363635,-0.3295454545454546
14,purpose=A42,-0.25223123003358655,0.02947990729562583,0.7654320987654321,0.47368421052631576,1.078073378542862,0.6671608598962194,0.028589993502274202,-0.19558154645873949,-0.11668553103188076,0.5860256926065786,1.6045893345464728,0.81,-0.999855533082924,-594.2384729890828,0.2345679012345679,0.2917478882391163
15,purpose=A43,0.13305353991460037,0.009179417403649498,0.6666666666666666,0.7941176470588235,0.9389671361502347,1.1184755592377797,0.03743315508021383,0.050802139037433136,0.13576238576238575,-1.5612430539226012,0.6858514697280041,0.66,-0.9998185776487664,-571.9037484801694,0.5151515151515151,-0.12745098039215685
16,purpose=A45,0.06423211571437587,0.0034454910900653876,0.7070707070707071,1.0,0.9958742353108551,1.4084507042253522,-0.24242424242424243,0.21212121212121215,0.1669950738916256,100.0000000000001,9.999999999999998,0.99,-0.9998979800040808,-656.3063053878814,0.010101010101010102,-0.29292929292929293
17,purpose=A46,-0.05561445829248345,0.0014592455626255274,0.7157894736842105,0.6,1.0081541882876206,0.8450704225352114,0.16842105263157892,-0.20000000000000007,0.0874183006535948,15.895777735945167,4.192636648331105,0.95,-0.9998895027624309,-635.7459232658769,0.05263157894736842,0.11578947368421055
