,model_id,score_threshold,k,attribute_name,attribute_value,accuracy,tpr,tnr,for,fdr,fpr,fnr,npv,precision,pp,pn,ppr,pprev,fp,fn,tn,tp,group_label_pos,group_label_neg,group_size,total_entities,prev,ppr_disparity,pprev_disparity,precision_disparity,fdr_disparity,for_disparity,fpr_disparity,fnr_disparity,tpr_disparity,tnr_disparity,npv_disparity,ppr_ref_group_value,pprev_ref_group_value,precision_ref_group_value,fdr_ref_group_value,for_ref_group_value,fpr_ref_group_value,fnr_ref_group_value,tpr_ref_group_value,tnr_ref_group_value,npv_ref_group_value
0,0,binary 0/1,0,Gender_Female,0,0.8685714285714285,0.0,1.0,0.13142857142857142,,0.0,1.0,0.8685714285714285,,0,175,,0.0,0,23,152,0,23,152,175,294,0.13142857142857142,,,,,1.0,,1.0,,1.0,1.0,0,0,0,0,0,0,0,0,0,0
1,0,binary 0/1,0,Gender_Female,1,0.865546218487395,0.0,1.0,0.13445378151260504,,0.0,1.0,0.865546218487395,,0,119,,0.0,0,16,103,0,16,103,119,294,0.13445378151260504,,,,,1.0230179028132993,,1.0,,1.0,0.9965170278637772,0,0,0,0,0,0,0,0,0,0
